Timestep	2016	2017	2018	2019	ground
145	279.75	268.25	281.65	278.35	279.08
146	279.65	268.15	281.65	278.35	279.08
147	279.55	267.55	281.45	278.25	279.07
148	279.35	267.25	281.55	278.55	279.07
149	279.15	267.25	281.65	278.35	279.07
150	278.95	267.35	281.65	278.15	279.06
151	279.15	267.45	281.65	278.15	279.08
152	279.15	267.35	281.65	278.25	279.07
153	279.05	267.15	281.75	277.95	279.05
154	279.05	267.45	281.75	278.05	279.05
155	279.45	267.85	282.05	278.15	279.04
156	278.85	268.45	282.25	278.45	279.05
157	277.75	269.25	282.45	278.85	279.05
158	277.35	270.15	282.25	279.25	279.05
159	278.65	270.45	282.35	279.25	279.03
160	280.35	271.25	282.35	279.05	279.03
161	281.75	271.25	282.45	278.95	279.03
162	282.55	271.35	282.35	278.65	279.04
163	282.55	271.75	282.05	278.55	279.06
164	283.35	271.95	281.55	278.45	279.02
165	283.45	272.35	280.95	278.35	279.06
166	283.15	272.55	280.75	278.65	279.02
167	282.55	272.65	280.45	278.65	279.05
168	281.95	273.05	279.95	278.55	279.04
169	281.75	273.25	279.85	278.25	279.05
170	281.65	273.45	279.95	278.25	279.04
171	281.55	273.65	279.95	277.95	279.02
172	281.15	273.45	279.95	278.05	279.03
173	280.45	273.55	279.75	278.15	279.03
174	280.55	273.75	279.65	278.25	279.04
175	280.75	273.95	279.45	278.25	279.04
176	280.45	274.05	279.35	278.15	279.04
177	280.25	274.35	279.55	277.85	279.04
178	280.25	274.55	279.75	277.75	279.02
179	280.35	274.85	279.85	277.45	279.02
180	281.05	275.45	280.25	277.75	279.03
181	280.85	275.55	280.75	278.55	279.02
182	280.45	275.65	281.45	279.35	279.01
183	280.15	275.45	281.85	279.35	279.01
184	280.05	276.45	282.45	278.95	279.03
185	280.65	276.65	281.55	278.95	279.02
186	280.45	276.35	281.25	279.45	279.01
187	280.35	276.05	280.95	279.35	279
188	280.35	275.15	280.55	278.85	279
189	280.35	274.55	280.25	278.75	279.01
190	280.35	273.95	280.05	279.15	279.01
191	280.25	273.65	279.95	278.85	279
192	280.35	273.25	279.55	279.05	279.01
193	280.35	273.05	279.65	278.95	279.01
194	280.35	272.75	279.65	278.85	279
195	280.35	272.85	279.35	278.65	278.99
196	280.25	272.65	280.15	278.35	279
197	280.25	272.75	280.25	278.35	278.99
198	280.55	272.95	279.85	277.95	278.99
199	280.65	273.15	279.35	277.25	279
200	280.55	273.25	279.45	276.75	278.99
201	280.45	272.05	279.15	277.25	279
202	280.35	271.85	279.15	276.75	279
203	280.35	272.95	279.45	276.85	279
204	280.65	274.05	280.05	277.55	279
205	280.65	274.95	281.25	278.15	279
206	280.95	275.45	281.85	277.85	279
207	281.15	276.15	281.75	277.65	279
208	281.55	276.25	281.95	278.05	279
209	282.05	276.15	282.25	278.15	278.99
210	282.25	275.85	282.45	276.85	279
211	281.65	275.35	281.85	275.85	278.99
212	281.35	275.25	281.55	275.75	279
213	280.75	275.15	281.35	275.95	278.99
214	280.25	275.15	280.95	276.25	278.99
215	281.05	275.25	280.45	276.35	279
216	280.85	274.85	279.85	275.85	279
217	280.35	274.55	279.25	275.85	279.01
218	279.85	274.75	278.65	275.75	279
219	279.75	275.05	278.15	275.65	279.01
220	280.25	274.95	277.55	275.25	279
221	279.85	275.25	278.15	275.55	278.99
222	280.95	275.35	278.65	275.55	279.01
223	281.35	275.15	278.55	274.75	279
224	281.65	274.85	278.35	274.75	278.99
225	281.65	274.85	278.45	274.85	279
226	281.75	275.05	279.35	275.15	279.01
227	281.35	274.95	278.55	275.45	279
228	281.05	275.55	278.95	275.75	279.01
229	281.15	276.15	279.75	276.25	279
230	280.85	276.05	280.35	277.05	278.99
231	281.15	276.25	279.95	277.55	278.99
232	281.25	276.15	280.45	277.35	279
233	281.25	276.45	280.65	277.25	279
234	281.25	276.45	281.15	276.65	278.98
235	281.35	275.95	281.05	276.45	278.98
236	281.75	275.55	280.75	276.35	278.99
237	281.75	274.85	280.15	276.05	278.98
238	281.95	273.95	279.65	275.95	278.95
239	282.35	274.35	279.65	276.15	278.96
240	281.85	274.25	279.85	275.85	278.95
241	281.45	274.35	279.65	275.55	278.95
242	281.45	274.65	279.65	275.25	278.94
243	281.15	274.95	279.85	275.05	278.96
244	281.15	274.95	279.75	275.15	278.98
245	280.75	274.85	279.85	274.95	278.98
246	280.55	275.35	279.85	274.75	278.98
247	280.15	275.45	279.75	274.75	278.98
248	280.15	275.45	279.45	274.85	278.99
249	280.05	275.45	279.65	275.15	278.97
250	280.25	275.35	279.55	275.05	278.99
251	281.15	276.05	279.65	275.05	278.99
252	284.35	276.45	279.75	275.65	278.98
253	283.65	276.85	280.25	276.15	278.97
254	285.35	277.65	281.45	276.65	278.99
255	285.25	278.15	281.35	276.85	278.97
256	284.45	278.05	281.15	277.05	278.98
257	284.05	277.95	281.05	277.55	278.99
258	283.25	277.95	281.25	277.15	278.98
259	282.05	278.05	281.05	277.05	278.96
260	281.45	277.95	281.05	277.05	278.96
261	281.45	277.55	281.05	276.75	278.97
262	281.75	277.65	280.95	276.25	278.97
263	281.55	278.05	280.45	276.05	278.97
264	281.45	278.15	279.75	276.15	278.96
265	280.55	278.55	279.35	276.35	278.97
266	280.45	278.75	278.75	276.55	278.97
267	280.65	278.85	278.55	276.25	278.96
268	280.25	278.95	279.15	276.15	278.96
269	279.85	279.15	279.15	276.45	278.95
270	279.75	279.05	279.35	276.35	278.95
271	279.75	279.15	279.45	276.35	278.95
272	279.95	279.35	279.55	276.55	278.95
273	280.15	279.65	279.65	276.25	278.95
274	280.55	279.25	279.35	276.65	278.95
275	280.15	279.15	279.45	276.55	278.95
276	280.95	279.65	279.55	276.65	278.96
277	281.15	280.15	279.75	278.05	278.96
278	281.75	280.95	280.25	278.75	278.95
279	281.75	281.35	280.25	279.65	278.96
280	281.45	281.55	280.35	279.95	278.93
281	279.85	281.15	280.35	279.65	278.94
282	279.65	280.55	280.25	279.65	278.96
283	279.85	280.15	279.85	279.35	278.95
284	279.95	280.15	279.15	279.05	278.94
285	279.65	280.65	278.95	278.75	278.94
286	279.15	280.35	279.05	278.85	278.94
287	279.35	280.15	279.05	278.95	278.94
288	279.25	280.45	278.95	278.85	278.94
289	278.45	280.95	278.85	278.25	278.93
290	278.45	281.15	278.55	277.85	278.92
291	278.45	280.45	278.55	277.95	278.92
292	277.55	279.95	278.85	278.15	278.94
293	277.35	279.35	278.95	278.15	278.94
294	277.85	278.45	278.65	278.25	278.95
295	278.35	277.15	278.65	278.15	278.94
296	278.25	277.25	278.65	277.85	278.94
297	278.05	276.85	278.65	277.85	278.96
298	277.85	276.75	278.45	277.95	278.94
299	278.05	275.85	278.45	278.15	278.94
300	278.35	276.55	278.75	278.35	278.93
301	279.25	277.45	279.35	278.95	278.95
302	279.85	277.95	279.65	279.35	278.93
303	280.45	277.25	279.75	279.35	278.92
304	280.45	277.15	279.75	279.75	278.92
305	280.05	276.65	279.55	280.15	278.92
306	279.75	276.35	279.35	280.25	278.92
307	279.15	276.75	278.45	280.05	278.92
308	278.75	275.95	277.65	280.25	278.93
309	277.75	276.15	277.15	280.65	278.93
310	277.15	276.15	276.85	281.15	278.92
311	276.65	275.35	276.25	281.25	278.92
312	276.35	274.75	275.75	281.45	278.92
313	275.95	274.65	275.25	281.35	278.93
314	275.35	275.25	274.95	281.35	278.9
315	275.15	275.75	274.55	281.55	278.92
316	274.65	276.45	274.25	281.75	278.92
317	274.55	276.45	273.95	281.75	278.91
318	274.45	276.25	273.65	281.65	278.91
319	274.25	276.45	273.35	281.35	278.91
320	273.85	276.35	273.05	280.95	278.92
321	274.05	276.45	273.65	280.75	278.91
322	274.25	276.25	274.75	280.85	278.92
323	274.55	276.05	275.25	280.85	278.92
324	275.95	276.55	275.45	280.65	278.93
325	276.35	276.55	275.85	280.55	278.93
326	276.25	276.55	276.05	281.05	278.93
327	275.75	276.45	276.35	281.45	278.94
328	276.35	276.35	276.35	280.95	278.92
329	276.95	275.85	276.05	280.85	278.93
330	276.75	275.65	275.95	280.45	278.92
331	276.75	275.25	275.85	280.45	278.92
332	276.95	275.15	275.75	280.05	278.91
333	277.25	275.05	275.55	279.55	278.92
334	278.05	274.85	275.45	279.55	278.91
335	278.55	274.45	275.15	279.35	278.91
336	278.55	274.65	275.15	279.25	278.9
337	278.55	274.45	275.25	279.05	278.91
338	277.75	274.35	275.15	279.25	278.89
339	277.25	274.05	275.45	279.25	278.91
340	277.35	274.45	275.35	279.05	278.91
341	277.55	274.05	275.45	278.95	278.91
342	277.45	274.05	275.35	278.45	278.9
343	277.35	273.55	275.15	277.65	278.89
344	277.05	272.75	275.25	276.75	278.89
345	276.45	271.75	275.35	276.25	278.9
346	275.65	272.05	275.35	276.05	278.9
347	275.85	273.05	275.75	276.55	278.9
348	276.75	274.65	276.15	278.05	278.9
349	277.55	275.45	276.95	279.05	278.89
350	278.65	275.35	277.55	279.65	278.86
351	278.95	276.35	278.15	280.35	278.89
352	278.65	276.45	279.15	280.65	278.88
353	278.05	275.65	280.05	281.15	278.89
354	277.45	275.55	280.25	280.45	278.89
355	276.45	275.05	281.15	279.15	278.88
356	276.45	274.95	282.45	277.95	278.88
357	276.35	274.25	282.35	276.95	278.88
358	276.15	273.75	281.25	276.55	278.89
359	276.15	273.35	280.55	276.05	278.89
360	276.05	273.35	280.35	275.55	278.89
361	275.45	273.55	280.35	275.05	278.88
362	274.85	273.25	280.55	274.65	278.88
363	274.95	272.95	280.55	274.45	278.87
364	274.75	272.75	280.65	274.35	278.87
365	275.15	272.45	280.85	273.85	278.87
366	275.25	272.25	281.05	273.65	278.87
367	275.45	272.05	281.25	273.65	278.86
368	275.55	271.95	281.45	273.55	278.86
369	275.55	270.85	281.65	273.75	278.87
370	275.55	270.65	281.85	274.25	278.86
371	276.05	271.05	282.25	274.55	278.87
372	276.55	271.85	283.05	275.55	278.87
373	277.55	273.15	283.75	276.55	278.87
374	277.45	273.25	283.75	277.75	278.87
375	277.55	273.85	284.25	278.55	278.85
376	277.65	274.25	284.45	279.05	278.86
377	277.25	273.85	284.55	279.15	278.86
378	276.95	273.25	283.55	279.55	278.86
379	276.75	272.95	283.05	278.95	278.84
380	276.75	272.65	282.85	278.85	278.85
