Timestep	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53
14	17581.5	26483.4	31377	62274.4	73953.3	14081.7	6755.5	9062.09	163967	58410.1	56357	30873.4	138870	26024.3	20127.2	78179.1	25184.7	89977.2	30195	39673.1	63955.4	6868.16	8402.9	6794.19	4663	27317.1	19573.4	17943	20487.2	19296.3	17443.8	16628.9	21439.9	21886.5	21138	392.273	9360.72	9360.72	9360.72	7432.09	5393.57	0	0	5729.83	590.516	3230.55	0.19428	0.19428	0	0	0	0	0
15	16255.2	26251.8	29330.2	61729.8	69129.3	13668.4	6441.23	8640.52	153271	55525.3	53363.3	29437.2	132409	24333.6	18819.7	73079.4	24013	85791.4	28055.2	37565.6	61878.4	6548.65	7857	6352.81	4360.06	25542.5	18301.9	16777.3	19156.2	17852.8	16138.9	15384.9	19836	20249.2	19556.7	372.9	8660.45	8660.45	8660.45	6876.1	4990.09	0	0	5463.28	559.147	3058.94	0.176832	0.176832	0	0	0	0	0
16	16489.1	26239.2	29621.2	61700.3	69815.1	13761.1	6506.48	8728.05	154792	56152.7	54044.7	29735.4	133751	24753.4	19144.3	73804.5	24256.3	86660.5	28406.3	38045.3	62570.7	6614.99	7992.55	6462.4	4435.28	25983.1	18617.6	17066.8	19486.7	18226.2	16476.4	15706.7	20250.9	20672.7	19965.7	377.113	8841.58	8841.58	8841.58	7019.91	5094.45	0	0	5518.62	566.287	3098	0.181526	0.181526	0	0	0	0	0
17	16722.9	26496	29912.2	62304	70501	13989	6571.74	8815.59	156312	56780.1	54726.1	30033.6	135092	25173.2	19469	74529.5	24499.6	87529.7	28757.4	38525	63263	6681.33	8128.09	6571.99	4510.5	26423.8	18933.3	17356.2	19817.2	18599.5	16813.9	16028.4	20665.7	21096.1	20374.7	381.326	9022.7	9022.7	9022.7	7163.71	5198.81	0	0	5573.97	573.427	3137.06	0.186219	0.186219	0	0	0	0	0
18	17113.8	25700.5	30795	60433.6	72581.7	13490.5	6624.99	8887.02	160926	57155.4	54994.2	30277	136187	25184.8	19477.9	76729.1	24698.1	88239	29492.9	38713.7	62570.7	6735.47	8131.81	6575	4512.56	26435.9	18942	17364.1	19826.3	18549.6	16768.8	15985.4	20610.2	21039.5	20320	383.847	8998.47	8998.47	8998.47	7144.47	5184.85	0	0	5619.14	576.236	3152.43	0.184893	0.184893	0	0	0	0	0
19	21416.8	26060.9	38434.5	61281.1	90587.5	13968.5	7503.92	10066.1	200847	64817.6	62512.2	34293.8	154255	28930.6	22374.9	95763.7	27974.8	99945.5	36810	44006.1	64647.7	7629.06	9341.28	7552.92	5183.73	30367.7	21759.3	19946.8	22775.1	21534.2	19466.8	18557.3	23926.3	24424.7	23589.4	435.305	10446.3	10446.3	10446.3	8293.99	6019.07	0	0	6364.62	655.01	3583.38	0.218383	0.218383	0	0	0	0	0
20	23564.9	27088	41877	63696	98701.1	14880.2	7994.98	10724.8	218837	69273.4	67081	36538	164349	31447	24321.1	104341	29805.5	106486	40323.6	47222.4	67417	8128.31	10153.8	8209.88	5634.61	33009.2	23651.9	21681.8	24756.1	23655.5	21384.5	20385.4	26283.3	26830.7	25913.1	465.23	11475.3	11475.3	11475.3	9111.02	6612	0	0	6781.13	702.884	3845.29	0.243693	0.243693	0	0	0	0	0
21	18283	26574.4	32249.9	62488.6	76010.8	14424.3	6951.26	9324.7	168529	60292.2	58401.3	31768.1	142894	27283.7	21101.2	80354.2	25914.5	92584.6	31248.3	41112.2	64711.1	7067.19	8809.53	7122.97	4888.64	28639.1	20520.6	18811.3	21478.6	20416.5	18456.4	17594.2	22684.5	23156.9	22365	404.914	9904.08	9904.08	9904.08	7863.5	5706.66	0	0	5895.87	611.937	3347.74	0.208361	0.208361	0	0	0	0	0
22	18516.8	26831.2	32540.9	63092.3	76696.7	14652.2	7016.52	9412.23	170049	60919.6	59082.7	32066.3	144235	27703.5	21425.9	81079.2	26157.7	93453.7	31599.3	41591.9	65403.4	7133.53	8945.07	7232.57	4963.86	29079.7	20836.4	19100.7	21809.1	20789.8	18793.9	17915.9	23099.3	23580.4	22774	409.127	10085.2	10085.2	10085.2	8007.31	5811.02	0	0	5951.22	619.077	3386.8	0.213054	0.213054	0	0	0	0	0
23	18516.8	26831.2	32540.9	63092.3	76696.7	14652.2	7016.52	9412.23	170049	60919.6	59082.7	32066.3	144235	27703.5	21425.9	81079.2	26157.7	93453.7	31599.3	41591.9	65403.4	7133.53	8945.07	7232.57	4963.86	29079.7	20836.4	19100.7	21809.1	20789.8	18793.9	17915.9	23099.3	23580.4	22774	409.127	10085.2	10085.2	10085.2	8007.31	5811.02	0	0	5951.22	619.077	3386.8	0.213054	0.213054	0	0	0	0	0
24	18593.6	27601.5	32240.1	64903.5	75987.6	15336	7093.77	9515.87	168477	61799.1	60177.5	32419.4	145824	28531.5	22066.3	80329.6	26445.8	94482.7	31566	42362.6	67480.4	7212.08	9212.43	7448.74	5112.23	29948.9	21459.1	19671.6	22460.9	21586.5	19514.2	18602.5	23984.5	24484	23646.7	415.033	10471.7	10471.7	10471.7	8314.16	6033.71	0	0	6016.75	630.548	3449.55	0.223768	0.223768	0	0	0	0	0
25	20932	30169	35149.9	70941	82845.9	17615.3	7746.32	10391.2	183683	68072.8	66991.7	35401.6	159238	32729.3	25312.9	87579.8	28878.5	103174	35076.7	47159.5	74403.7	7875.5	10567.9	8544.67	5864.39	34355.2	24616.4	22565.9	25765.6	25320.2	22889.4	21820	28133	28718.9	27736.8	457.167	12282.9	12282.9	12282.9	9752.21	7077.32	0	0	6570.22	701.948	3840.17	0.270704	0.270704	0	0	0	0	0
26	22802.7	32223	37477.8	75770.9	88332.6	19438.8	8268.35	11091.5	195848	73091.8	72443.1	37787.3	169969	36087.6	27910.2	93380	30824.6	110127	37885.3	50997.1	79942.4	8406.25	11652.2	9421.42	6466.12	37880.3	27142.3	24881.3	28409.3	28307.2	25589.6	24394.1	31451.7	32106.8	31008.8	490.874	13731.9	13731.9	13731.9	10902.7	7912.22	0	0	7013	759.068	4152.66	0.308253	0.308253	0	0	0	0	0
27	22335.1	31709.5	36895.8	74563.4	86960.9	18982.9	8137.84	10916.4	192807	71837.1	71080.3	37190.9	167286	35248	27260.8	91929.9	30338.1	108389	37183.1	50037.7	78557.7	8273.56	11381.1	9202.23	6315.68	36999.1	26510.8	24302.5	27748.4	27560.4	24914.6	23750.6	30622	31259.8	30190.8	482.447	13369.7	13369.7	13369.7	10615	7703.5	0	0	6902.3	744.788	4074.53	0.298866	0.298866	0	0	0	0	0
28	21399.7	30682.5	35731.9	72148.5	84217.6	18071.2	7876.83	10566.3	186724	69327.6	68354.6	35998	161920	33568.9	25962.2	89029.9	29365	104912	35778.8	48118.9	75788.4	8008.19	10838.9	8763.86	6014.82	35236.5	25247.9	23144.8	26426.5	26067	23564.5	22463.6	28962.7	29565.9	28554.8	465.593	12645.2	12645.2	12645.2	10039.8	7286.05	0	0	6680.91	716.228	3918.29	0.280091	0.280091	0	0	0	0	0
29	21867.4	31196	36313.9	73355.9	85589.2	18527.1	8007.34	10741.4	189765	70582.3	69717.4	36594.5	164603	34408.5	26611.5	90479.9	29851.5	106651	36481	49078.3	77173.1	8140.87	11110	8983.05	6165.25	36117.8	25879.3	23723.6	27087.5	26813.7	24239.5	23107.1	29792.3	30412.9	29372.8	474.02	13007.4	13007.4	13007.4	10327.4	7494.77	0	0	6791.61	730.508	3996.41	0.289478	0.289478	0	0	0	0	0
