-	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
s	32	40	40	80	100	100	80	40	65	125	100	80	50	150	125	200	200	125	125	125	125	100	100	125	80	65	125	50	50	80	65
p	0	0	0	0	100	100	65	0	40	0	65	0	0	150	0	200	0	125	0	125	125	0	100	125	0	65	125	40	40	80	50
d	0	0	0	0	0	80	40	0	0	0	65	0	0	0	0	0	0	125	0	125	0	0	100	0	0	0	125	32	0	80	40
f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	125	0	0	100	0	0	0	125	0	0	65	0
g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	100	0	0	0	65	0	0	65	0
