Timestep	2018	2019	2020	2021	2022
2461	286.15	282.25	289.35	282.05	289.35
2462	286.35	283.55	289.85	281.35	290.05
2463	287.55	284.65	291.25	281.65	290.65
2464	287.45	285.35	291.45	281.65	291.55
2465	287.75	284.85	292.25	281.55	291.25
2466	288.15	283.25	293.25	281.35	291.65
2467	287.25	281.65	292.55	280.05	290.75
2468	285.95	280.75	291.35	278.55	289.95
2469	285.25	279.95	290.25	277.75	289.45
2470	284.85	278.85	289.15	276.95	288.65
2471	284.45	278.45	288.35	276.55	287.35
2472	284.05	277.95	286.85	276.25	286.85
2473	284.15	277.55	285.25	275.85	285.75
2474	283.95	277.45	283.85	275.35	285.55
2475	283.05	277.15	283.05	274.95	285.05
2476	282.75	276.55	282.25	274.95	284.35
2477	282.75	275.55	281.25	274.45	284.35
2478	282.25	274.85	280.45	274.45	283.85
2479	282.25	274.85	280.05	274.55	283.75
2480	283.85	275.85	280.15	275.55	285.85
2481	284.75	277.35	281.55	277.15	286.15
2482	284.95	278.95	282.55	278.65	286.55
2483	286.05	278.65	283.95	279.35	287.45
2484	286.55	279.35	285.55	279.85	288.25
2485	287.35	280.85	286.75	281.45	289.65
2486	288.15	281.05	287.95	282.15	291.15
2487	288.25	281.55	288.45	281.95	291.95
2488	288.95	281.35	288.55	282.15	292.85
2489	289.35	281.45	288.25	282.45	293.15
2490	289.65	280.65	287.55	282.05	293.15
2491	289.45	279.65	286.45	281.25	293.95
2492	287.25	278.45	284.95	279.75	292.25
2493	286.85	277.95	283.75	278.65	290.95
2494	287.35	277.45	282.75	277.75	290.15
2495	286.45	276.85	281.95	277.15	289.95
2496	286.25	276.65	280.85	276.65	289.25
2497	286.25	276.55	280.05	276.15	288.85
2498	286.15	276.55	279.35	275.75	287.35
2499	285.45	276.25	278.55	275.35	286.85
2500	284.85	275.65	277.95	275.05	286.05
2501	284.45	275.65	277.35	274.75	285.35
2502	283.55	275.55	276.85	274.45	284.85
2503	283.65	275.75	276.95	274.45	285.45
2504	284.95	276.95	279.15	275.55	286.65
2505	285.45	278.35	280.15	276.95	287.25
2506	286.15	278.55	280.45	278.25	288.15
2507	287.35	279.15	281.45	279.95	289.15
2508	288.35	280.35	282.85	281.05	290.15
2509	288.95	281.35	284.15	281.85	291.35
2510	289.75	282.75	285.55	282.35	292.45
2511	290.25	283.95	286.85	282.15	293.35
2512	290.35	284.95	287.55	281.95	294.25
2513	290.65	285.95	288.75	281.95	295.15
2514	290.85	285.95	288.25	281.05	294.45
2515	290.75	285.05	287.55	280.55	293.45
2516	289.55	284.35	286.75	279.35	291.85
2517	288.85	283.55	286.55	278.85	290.95
2518	288.45	282.25	285.75	278.05	290.15
2519	287.85	281.65	284.85	277.35	289.75
2520	287.25	280.95	284.45	277.05	289.35
2521	286.25	280.55	283.85	276.75	288.85
2522	286.15	280.15	283.15	276.45	287.55
2523	285.75	279.85	283.05	276.05	286.65
2524	285.65	279.95	283.05	275.95	286.25
2525	285.15	280.45	282.65	275.55	285.55
2526	284.75	281.15	282.65	275.15	284.95
2527	285.05	281.05	282.65	274.85	284.85
2528	285.85	281.95	284.15	275.85	285.35
2529	285.85	282.55	285.05	277.45	286.55
2530	285.95	283.15	285.95	278.75	287.95
2531	286.85	284.25	287.55	279.95	289.55
2532	288.35	284.05	288.85	279.95	290.85
2533	289.25	284.45	291.15	281.75	291.05
2534	289.35	284.35	292.05	283.15	291.15
2535	290.65	284.15	292.95	283.75	290.95
2536	290.75	283.85	293.45	284.05	290.45
2537	291.15	283.85	293.65	283.85	289.75
2538	291.05	283.15	293.95	283.35	288.85
2539	290.55	282.85	293.15	282.35	287.65
2540	289.15	282.75	291.15	281.05	286.15
2541	287.95	282.45	291.15	279.95	284.85
2542	287.75	282.55	290.55	278.85	283.85
2543	287.55	282.35	289.65	278.15	283.05
2544	287.15	282.45	288.65	277.65	282.45
2545	286.05	282.25	287.65	277.05	281.85
2546	285.35	282.25	286.65	276.35	281.45
2547	284.85	282.25	286.05	275.95	280.95
2548	284.25	282.05	285.45	275.55	280.25
2549	283.95	281.65	285.15	275.15	279.45
2550	282.95	281.05	284.15	274.65	278.95
2551	283.65	280.65	284.45	274.85	278.55
2552	284.55	281.75	286.05	275.95	279.75
2553	285.25	282.45	287.15	277.45	280.95
2554	286.25	282.95	287.65	279.15	281.75
2555	287.55	283.95	288.25	279.65	282.15
2556	288.35	284.65	288.95	281.35	284.15
2557	289.65	285.75	289.95	282.75	286.65
2558	290.75	286.95	291.35	283.55	286.05
2559	291.65	288.05	292.45	284.45	287.65
2560	292.45	289.05	293.65	284.65	289.35
2561	292.75	289.45	293.85	284.55	290.05
2562	294.35	289.85	293.75	284.15	289.75
2563	294.05	289.55	292.45	282.85	288.55
2564	292.45	288.55	291.25	281.55	287.05
2565	291.65	287.35	290.15	280.85	285.95
2566	290.75	286.35	289.55	280.25	284.95
2567	290.15	285.35	288.65	279.85	284.05
2568	289.05	285.15	288.05	279.45	283.05
2569	288.15	284.65	287.25	279.05	282.15
2570	287.75	283.95	286.85	278.75	281.65
2571	287.45	283.35	286.35	278.35	280.45
2572	286.95	283.15	285.95	278.25	279.85
2573	286.15	282.85	285.85	278.25	279.25
2574	285.05	282.85	285.65	278.35	278.45
2575	285.65	283.45	285.45	278.05	278.95
2576	286.95	284.35	286.85	278.55	280.55
2577	287.15	285.15	287.75	279.45	281.35
2578	288.45	286.05	288.75	280.45	282.15
2579	289.25	287.35	288.85	281.75	282.95
2580	290.25	288.65	289.85	282.85	283.85
2581	291.25	289.15	291.55	282.65	285.05
2582	292.35	290.35	292.45	283.25	286.35
2583	293.15	291.35	293.55	283.45	287.45
2584	294.15	291.85	294.05	283.25	288.45
2585	294.45	292.15	293.85	283.45	289.35
2586	294.85	292.15	292.45	283.35	288.55
2587	295.05	291.75	291.95	282.55	287.95
2588	294.05	290.55	290.85	281.75	287.05
2589	293.05	289.05	290.15	281.05	286.65
2590	291.45	288.85	289.45	280.25	286.15
2591	289.75	288.75	288.35	280.15	284.75
2592	289.15	287.95	287.75	279.55	284.15
2593	288.25	287.35	287.15	279.15	283.55
2594	287.35	286.65	286.75	278.55	282.95
2595	287.15	285.95	286.45	278.05	282.45
2596	286.65	285.65	286.05	277.75	281.35
2597	285.95	285.05	286.05	277.75	281.15
2598	285.55	284.75	285.35	277.15	280.65
2599	285.95	284.65	285.75	276.95	280.85
2600	287.95	286.65	286.85	278.55	282.85
2601	288.65	286.75	287.15	279.45	283.15
2602	289.15	287.85	287.35	279.95	284.05
2603	290.15	288.65	287.95	280.75	285.35
2604	291.15	289.85	289.05	282.15	286.55
2605	292.35	290.75	289.65	283.25	287.55
2606	293.35	291.45	289.95	284.05	288.95
2607	294.65	292.05	290.45	285.25	289.65
2608	295.15	292.95	290.55	285.85	290.55
2609	295.15	293.05	290.45	286.35	291.25
2610	295.75	293.65	289.35	287.05	291.15
2611	295.55	293.25	289.35	285.85	290.95
2612	294.45	291.35	288.85	284.85	290.05
2613	292.75	290.65	288.65	284.05	288.45
2614	291.85	289.95	288.25	282.95	287.75
2615	290.95	289.85	288.05	282.55	287.45
2616	290.45	289.25	287.85	282.05	287.35
2617	290.85	288.85	287.65	281.05	287.05
2618	288.95	288.65	287.15	280.45	286.45
2619	287.85	288.05	287.35	279.35	284.95
2620	287.75	287.45	286.75	278.95	283.15
2621	287.25	286.95	286.65	278.55	282.35
2622	286.75	285.95	285.85	278.15	282.35
2623	286.85	285.65	286.25	278.45	282.35
2624	288.25	286.95	286.85	280.25	283.35
2625	289.05	286.85	287.65	280.75	283.95
2626	289.65	287.55	287.85	281.65	284.55
2627	290.75	289.25	288.55	282.55	285.55
2628	292.05	290.45	289.05	283.75	286.45
2629	293.25	291.05	289.85	284.75	287.15
2630	294.65	291.75	291.75	286.15	288.35
2631	295.05	293.45	292.95	286.75	288.75
2632	296.35	295.05	292.95	287.85	289.55
2633	296.85	295.65	293.15	288.45	289.35
2634	297.15	295.45	292.65	288.55	289.65
2635	295.85	294.55	291.95	288.25	289.15
2636	294.35	292.85	290.45	286.95	289.15
2637	292.95	292.25	289.75	285.15	288.15
2638	292.05	291.85	289.25	285.05	287.25
2639	291.75	292.05	288.55	284.05	286.75
2640	291.25	291.95	287.95	282.95	285.85
2641	290.65	290.75	287.45	282.15	284.45
2642	289.75	288.65	286.95	281.95	283.25
2643	288.45	287.65	286.25	281.15	282.75
2644	287.95	286.65	286.15	280.65	281.95
2645	287.45	285.85	285.85	280.25	281.55
2646	286.95	285.25	285.35	280.25	281.15
2647	287.25	285.35	285.05	281.05	281.05
2648	288.85	286.45	285.15	281.95	282.35
2649	289.25	286.45	285.65	282.45	283.05
2650	290.35	286.85	286.05	283.35	283.65
2651	291.45	286.85	286.45	284.55	284.75
2652	292.55	287.85	286.75	285.55	285.45
2653	293.95	289.15	287.15	286.35	286.25
2654	294.75	289.15	287.35	286.15	287.65
2655	295.75	289.25	287.75	286.35	289.85
2656	296.45	289.25	288.15	286.55	290.55
2657	296.65	289.85	289.45	286.75	291.25
2658	296.45	289.85	288.75	286.15	291.55
2659	295.25	289.95	287.75	286.25	290.55
2660	293.55	288.25	287.15	285.25	289.05
2661	292.95	287.55	286.55	284.25	287.95
2662	291.95	287.25	285.75	283.05	287.25
2663	291.35	286.85	285.15	282.25	286.65
2664	290.85	286.35	284.65	281.75	285.85
2665	289.85	285.45	284.05	281.35	285.25
2666	289.05	285.55	283.55	281.35	284.15
2667	288.95	285.55	283.05	280.55	283.45
2668	288.45	286.15	282.75	280.05	282.75
2669	287.95	285.85	282.55	279.75	282.05
2670	287.55	285.35	282.45	279.85	281.85
2671	288.95	284.75	282.85	280.35	281.75
2672	290.15	287.15	284.25	281.85	283.05
2673	289.95	288.25	285.15	282.45	283.45
2674	290.25	288.25	286.45	283.25	283.55
2675	291.85	289.25	287.35	284.75	284.05
2676	293.65	290.15	288.15	285.55	285.05
2677	295.45	292.05	289.25	286.95	285.85
2678	295.75	293.05	290.95	288.85	287.05
2679	296.75	293.05	291.65	290.75	287.85
2680	297.65	294.55	292.55	292.15	288.65
2681	297.95	295.05	292.85	291.95	288.55
2682	297.65	296.05	292.95	291.35	288.85
2683	296.55	295.35	292.65	290.45	288.65
2684	294.55	294.55	292.05	288.75	287.55
2685	293.25	294.05	291.65	287.65	287.55
2686	292.35	293.45	291.15	286.55	286.25
2687	291.65	291.95	289.95	285.75	285.75
2688	290.65	291.95	289.15	285.25	286.15
2689	290.15	291.05	287.65	285.05	285.85
2690	289.75	289.85	287.45	284.55	285.25
2691	289.45	289.95	286.55	283.35	284.95
2692	289.15	289.95	285.55	282.25	285.15
2693	288.55	289.75	284.85	281.45	284.65
2694	287.95	288.95	284.45	281.05	284.55
2695	288.05	288.65	284.85	281.35	283.55
2696	289.25	288.85	286.95	282.25	283.85
2697	290.45	289.35	287.55	283.15	284.95
2698	290.85	289.15	288.35	283.25	285.95
2699	292.05	290.25	288.95	284.15	287.15
2700	293.05	291.65	290.35	285.35	285.85
2701	292.75	292.55	291.15	286.65	286.65
2702	293.95	291.95	292.25	288.45	285.65
2703	293.15	292.25	293.25	289.25	286.95
2704	292.45	293.65	294.05	290.35	287.95
2705	290.15	292.95	294.75	291.95	287.85
2706	289.55	292.85	294.85	292.55	287.85
2707	289.25	292.45	294.25	291.55	287.35
2708	288.75	291.25	292.35	290.05	286.65
2709	287.65	290.85	291.15	288.85	286.05
2710	286.95	290.15	291.15	288.05	284.55
2711	286.45	289.75	290.35	286.75	280.95
2712	286.35	289.25	288.85	286.15	280.45
2713	285.95	289.05	287.85	285.05	280.15
2714	285.35	288.45	286.95	283.65	280.25
2715	284.95	287.85	286.35	282.75	279.75
2716	284.65	286.55	285.65	282.05	279.45
2717	283.95	286.25	285.05	281.85	279.65
2718	283.85	286.05	284.75	281.45	279.95
2719	284.35	286.45	285.05	281.95	280.25
2720	286.25	288.05	287.25	283.45	280.85
2721	286.85	289.15	288.25	284.15	281.15
2722	287.65	289.35	288.65	285.15	281.65
2723	288.55	289.45	289.55	286.15	282.25
2724	289.95	291.05	291.25	287.65	282.85
2725	290.85	290.35	292.35	288.95	283.45
2726	292.95	288.25	293.45	290.45	284.65
2727	293.75	284.85	294.35	291.65	285.25
2728	295.15	282.05	293.85	292.15	284.75
2729	294.95	282.35	294.15	292.15	284.05
2730	295.25	284.15	294.45	292.75	283.65
2731	294.35	283.95	293.95	292.85	283.55
2732	292.35	282.85	292.05	291.05	283.15
2733	290.65	282.85	290.35	289.75	283.15
2734	289.95	282.55	289.45	289.05	283.45
2735	289.25	282.25	289.55	288.55	283.85
2736	288.85	281.95	289.85	287.75	283.95
2737	288.55	281.55	289.35	286.55	283.95
2738	287.85	281.25	288.15	285.55	283.35
2739	287.55	280.75	287.65	285.25	282.65
2740	287.05	280.15	287.55	284.35	282.65
2741	286.45	280.15	287.45	284.15	282.45
2742	287.05	280.15	287.45	284.15	282.45
2743	287.35	280.65	287.35	284.15	282.25
2744	288.95	282.65	288.45	285.75	282.35
2745	289.65	283.15	289.25	286.25	282.45
2746	290.65	284.05	289.55	287.35	282.55
2747	291.65	285.65	290.55	288.15	283.25
2748	293.45	286.25	291.35	289.25	283.55
2749	294.95	288.15	291.65	291.05	284.35
2750	295.55	288.45	291.85	291.65	285.05
2751	296.85	290.25	292.75	292.75	285.25
2752	296.95	292.25	294.45	293.35	284.75
2753	296.95	292.65	293.15	294.15	284.75
2754	296.15	291.55	293.25	294.25	284.85
2755	295.25	288.55	292.35	292.95	284.35
2756	292.35	286.55	291.05	291.45	284.65
2757	291.05	285.25	289.95	290.05	283.95
2758	290.75	284.45	289.35	289.15	282.95
2759	290.05	283.55	288.95	288.75	282.85
2760	289.45	281.35	288.75	288.15	282.95
2761	288.55	280.25	288.85	287.05	282.65
2762	288.05	279.85	288.15	286.35	282.95
2763	287.65	279.35	287.75	285.55	282.35
2764	287.35	279.05	287.25	285.15	282.35
2765	286.85	279.15	287.05	284.85	282.55
2766	286.15	279.35	286.75	284.35	282.15
2767	285.95	279.35	286.95	284.25	282.75
2768	285.95	279.65	287.65	284.55	282.85
2769	286.15	280.05	288.05	284.65	282.95
2770	286.95	280.55	288.85	284.05	281.95
2771	287.25	281.35	289.95	284.75	282.15
2772	288.25	281.85	290.65	285.15	284.05
2773	288.85	282.75	290.55	285.25	284.75
2774	289.35	284.15	288.65	286.15	286.05
2775	289.85	284.55	289.55	286.85	286.85
2776	290.15	283.85	288.55	287.95	287.35
2777	290.45	285.15	288.55	287.55	287.55
2778	289.75	284.75	288.55	288.15	287.55
2779	288.65	283.35	288.25	287.95	287.55
2780	287.05	282.65	287.95	287.15	286.75
2781	285.85	282.45	287.05	287.35	285.15
2782	285.05	282.55	285.75	287.15	284.25
2783	284.55	282.05	285.25	287.15	283.95
2784	284.45	282.55	284.75	286.15	284.05
2785	284.15	282.45	284.45	285.25	283.65
2786	283.35	282.35	284.55	284.25	282.85
2787	283.05	282.35	284.75	284.05	281.85
2788	282.65	281.75	284.55	284.05	280.65
2789	281.55	280.95	284.15	283.55	280.15
2790	281.45	280.75	284.35	283.55	279.95
2791	282.25	280.85	284.65	283.45	280.95
2792	283.55	280.85	285.95	283.85	282.25
2793	284.05	281.55	286.35	284.45	282.65
2794	284.75	282.45	287.05	284.95	283.35
2795	285.65	283.65	287.75	285.65	284.15
2796	286.95	283.95	289.05	286.45	285.05
2797	287.75	285.05	290.35	287.95	286.25
2798	289.75	284.45	292.05	289.15	287.95
2799	291.35	284.35	292.85	289.75	288.75
2800	292.25	283.25	293.55	290.25	289.95
2801	293.45	283.55	292.95	291.35	291.35
2802	294.15	283.75	290.95	291.65	290.85
2803	293.95	283.55	288.95	291.25	289.65
2804	292.95	283.25	288.15	290.55	288.05
2805	291.95	283.15	287.15	289.35	287.15
2806	291.15	282.45	287.05	288.35	286.35
2807	290.35	281.15	286.65	288.35	285.55
2808	289.85	279.25	286.55	288.35	284.85
2809	289.65	278.95	286.45	287.55	283.95
2810	289.45	278.15	286.55	287.35	283.15
2811	288.75	278.45	286.45	287.05	282.35
2812	288.15	278.95	286.45	286.85	282.15
2813	287.55	278.65	285.95	287.25	281.55
2814	287.35	278.15	285.65	286.05	281.35
2815	287.35	278.55	285.85	285.95	281.85
2816	288.25	279.05	286.15	286.75	282.95
2817	289.35	279.15	286.55	287.35	283.65
2818	289.35	280.35	287.35	287.55	284.65
2819	290.05	279.65	287.65	287.25	285.45
2820	290.85	279.95	288.05	287.65	286.45
2821	291.25	280.35	287.75	287.15	287.65
2822	292.35	280.85	286.95	287.05	289.35
2823	292.25	280.45	286.15	286.85	290.35
2824	292.85	280.95	285.75	287.35	291.55
2825	293.05	280.95	285.15	287.35	292.85
2826	293.25	280.35	285.05	286.15	293.45
2827	292.55	279.85	284.45	285.45	292.45
2828	291.45	279.25	284.25	285.35	290.95
2829	290.75	278.85	284.25	285.45	289.75
2830	290.35	278.65	284.35	285.15	289.05
2831	289.75	278.65	284.05	284.55	288.15
2832	289.15	279.05	283.75	284.35	287.15
2833	288.55	279.15	283.35	284.25	285.95
2834	287.75	278.85	282.65	283.95	284.75
2835	287.25	278.75	281.85	283.45	284.05
2836	287.05	278.45	282.05	283.55	283.35
2837	286.15	278.35	282.25	283.55	282.95
2838	286.05	278.05	282.25	283.35	282.35
2839	286.45	278.65	282.45	283.45	283.15
2840	287.65	279.95	283.05	284.05	284.05
2841	288.55	281.15	283.65	284.35	285.25
2842	289.55	282.05	284.85	284.65	285.85
2843	289.85	283.45	284.85	285.15	286.65
2844	290.25	284.05	285.45	285.75	287.45
2845	291.55	283.95	285.85	286.35	287.85
2846	291.85	284.85	286.75	286.65	289.25
2847	291.95	285.45	286.95	286.55	290.45
2848	292.75	285.15	287.45	287.05	290.75
2849	293.85	284.25	288.55	287.15	290.35
2850	293.55	284.25	288.05	286.45	291.05
2851	292.35	283.95	287.45	285.15	290.25
2852	291.55	282.75	286.25	285.25	289.25
2853	290.05	282.25	285.05	285.05	288.65
2854	285.05	282.15	284.55	284.85	288.25
2855	283.05	281.65	284.25	284.75	287.55
2856	282.25	281.55	284.05	284.55	287.25
2857	281.85	281.15	284.35	284.45	287.45
2858	282.25	281.45	284.65	284.25	287.15
2859	283.15	281.35	284.85	284.25	286.65
2860	283.15	280.65	284.35	283.85	285.95
2861	283.05	280.75	284.05	283.35	285.65
2862	283.25	280.65	284.15	283.25	284.75
2863	283.25	281.05	283.55	283.65	284.75
2864	283.95	282.55	283.25	283.75	286.15
2865	284.65	283.85	283.85	284.45	286.95
2866	285.55	285.25	283.75	284.25	287.45
2867	286.65	286.35	283.45	283.35	287.95
2868	287.25	287.25	283.15	282.95	289.35
2869	287.35	288.25	283.35	282.85	289.75
2870	285.85	289.05	283.25	283.15	290.45
2871	287.15	289.75	283.05	283.05	290.75
2872	287.55	289.75	283.15	283.05	289.75
2873	287.55	289.55	283.35	282.75	287.05
2874	286.35	288.65	283.55	282.85	283.45
2875	285.45	287.75	283.35	282.55	283.65
2876	285.05	286.15	282.95	282.75	283.15
2877	285.35	284.95	282.75	282.65	283.25
2878	285.05	284.25	282.45	282.65	282.85
2879	284.45	283.75	283.15	282.65	282.05
2880	283.35	283.25	283.15	282.85	281.75
2881	282.55	283.05	283.05	282.75	281.35
2882	282.25	282.45	282.95	282.85	280.85
2883	281.85	281.45	283.15	282.75	280.55
2884	281.85	280.95	283.45	282.75	280.35
2885	281.85	280.55	283.45	282.35	280.35
2886	281.75	280.25	282.05	282.25	280.15
2887	281.35	281.05	282.05	282.25	280.85
2888	281.45	282.35	282.25	282.35	282.55
2889	281.65	282.95	282.25	282.55	282.55
2890	282.45	283.35	282.35	282.65	283.15
2891	282.95	284.35	282.75	282.35	284.25
2892	282.95	285.35	283.15	282.35	285.35
2893	283.25	286.65	283.55	282.05	286.45
2894	283.45	287.85	283.05	281.95	287.35
2895	284.15	289.05	283.25	282.05	288.45
2896	284.75	289.95	283.95	281.85	289.15
2897	284.75	290.15	285.45	282.25	289.85
2898	285.25	290.55	285.25	282.05	290.35
2899	285.15	290.55	285.75	281.65	290.25
2900	284.55	289.25	285.25	281.35	288.45
2901	283.95	287.15	284.15	280.75	286.85
2902	283.85	286.25	283.95	280.15	286.25
2903	283.05	285.25	283.65	279.75	285.95
2904	282.55	284.35	283.45	279.75	285.55
2905	282.05	283.55	283.65	279.55	284.85
2906	281.75	283.25	284.15	279.45	283.35
2907	280.95	282.85	284.15	279.45	282.75
2908	280.65	282.55	284.15	279.45	282.35
2909	280.25	282.05	283.85	279.25	282.25
2910	280.45	281.95	283.45	279.25	281.65
2911	281.45	283.05	283.95	279.35	282.35
2912	282.35	284.55	284.15	280.05	283.95
2913	282.65	284.85	284.75	281.45	284.45
2914	283.15	284.95	284.95	281.85	285.25
2915	283.85	283.75	285.45	282.25	285.85
2916	284.05	284.15	285.65	282.25	286.75
2917	284.95	284.35	286.35	282.15	287.85
2918	285.95	285.25	285.85	283.15	289.05
2919	286.35	286.35	286.25	282.85	290.05
2920	286.75	285.95	286.45	282.85	290.65
2921	286.85	284.85	286.25	282.65	291.45
2922	286.65	285.15	285.55	282.15	291.35
2923	286.75	284.95	285.25	282.25	291.45
2924	286.35	284.65	284.95	280.35	290.05
2925	285.85	284.25	284.85	279.55	289.25
2926	285.25	283.75	284.65	279.05	288.85
2927	284.85	283.25	284.15	278.55	288.55
2928	284.25	282.95	283.85	278.55	287.25
2929	283.75	282.35	283.45	278.85	286.55
2930	283.85	282.05	283.25	278.75	285.95
2931	283.85	281.95	283.35	278.05	285.95
2932	283.95	281.85	283.35	277.55	285.45
2933	284.05	281.65	283.05	277.25	284.85
2934	283.85	281.35	282.95	277.15	284.75
2935	283.55	281.55	283.25	278.15	285.45
2936	283.95	282.15	283.95	280.25	286.45
2937	283.95	282.25	284.55	280.75	286.95
2938	284.15	282.25	285.15	281.25	287.65
2939	285.05	283.05	285.45	282.05	288.45
2940	286.05	283.35	285.85	282.95	289.35
2941	286.05	284.35	286.15	283.75	289.95
2942	286.15	284.65	286.65	285.15	291.15
2943	286.25	285.25	287.55	285.85	292.05
2944	286.25	285.45	287.25	286.35	291.95
2945	286.35	285.85	287.45	286.95	290.75
2946	286.45	285.95	288.25	287.15	288.75
2947	286.45	285.65	288.45	287.15	288.95
2948	286.15	284.95	287.35	285.35	287.75
2949	285.95	284.35	286.65	283.55	286.65
2950	285.95	283.85	285.75	282.85	286.45
2951	285.95	282.55	285.25	282.65	286.55
2952	286.45	282.55	285.75	283.25	286.25
2953	286.55	282.35	285.05	283.15	286.05
2954	286.35	282.05	285.15	282.75	285.85
2955	286.15	281.85	285.25	281.25	286.35
2956	286.05	281.35	284.95	281.15	285.75
2957	285.85	280.15	284.45	281.65	284.85
2958	285.85	280.15	283.75	281.25	284.55
2959	286.25	281.25	284.85	282.35	285.15
2960	287.25	282.55	286.05	283.35	286.25
2961	288.45	284.05	286.75	283.95	286.75
2962	289.55	283.25	287.65	285.15	287.55
2963	290.45	283.55	288.35	286.55	288.05
2964	291.25	283.95	289.75	286.45	288.75
2965	291.75	285.15	290.55	287.15	289.45
2966	292.15	285.45	292.05	288.15	289.85
2967	292.45	284.45	293.05	289.35	290.45
2968	292.55	284.45	294.05	289.85	290.45
2969	292.45	282.85	294.05	289.65	290.65
2970	291.85	280.45	294.15	289.25	290.45
2971	291.05	279.55	294.45	288.65	289.35
2972	290.55	276.55	292.65	288.35	288.35
2973	290.45	275.75	291.35	287.45	286.85
2974	290.25	275.15	290.15	285.05	285.15
2975	289.95	274.85	289.85	284.75	285.05
2976	289.65	274.75	289.55	285.25	284.75
2977	289.45	274.75	289.25	285.25	284.65
2978	288.95	274.85	289.05	285.15	284.35
2979	288.65	274.85	288.65	284.55	284.55
2980	288.25	274.95	288.45	283.85	284.55
2981	288.15	274.95	287.55	283.45	284.75
2982	286.85	275.05	286.85	282.55	284.75
2983	286.95	275.45	287.05	282.45	284.25
2984	287.85	276.15	287.65	281.95	284.15
2985	288.75	276.95	287.95	281.95	284.05
2986	289.65	277.75	287.15	282.75	283.95
2987	290.65	278.45	287.55	283.25	283.85
2988	291.85	279.05	287.75	284.25	283.85
2989	292.75	279.65	287.85	284.45	283.75
2990	293.75	280.15	288.15	286.05	283.65
2991	294.55	280.75	288.55	286.45	284.25
2992	296.35	281.85	289.55	286.65	284.15
2993	296.25	281.45	289.35	286.65	284.15
2994	296.15	279.55	289.35	286.15	283.95
2995	295.45	279.45	288.75	285.35	283.85
2996	294.45	278.35	288.25	284.55	283.95
2997	293.45	277.65	287.15	284.05	283.95
2998	293.15	277.15	286.65	283.05	283.85
2999	292.15	276.95	286.85	282.75	283.55
3000	290.55	276.85	286.35	281.65	283.55
3001	289.75	276.55	285.95	280.95	283.85
3002	289.45	276.65	285.45	280.35	283.95
3003	288.45	276.45	285.65	279.75	283.95
3004	287.75	276.35	285.35	279.95	284.05
3005	287.85	276.25	286.15	280.15	284.05
3006	287.45	276.15	285.75	280.45	284.05
3007	287.85	276.95	286.15	281.15	284.35
3008	288.95	278.55	286.85	281.55	284.85
3009	289.55	279.65	287.45	281.85	285.75
3010	290.05	281.15	287.85	282.05	286.35
3011	291.25	281.95	288.85	282.25	287.45
3012	292.25	282.65	288.65	281.55	288.45
3013	293.55	283.45	288.95	281.55	288.75
3014	294.55	284.05	290.25	281.45	288.85
3015	295.75	284.15	290.45	281.65	288.65
3016	296.45	284.35	290.75	281.95	288.15
3017	297.75	284.55	291.05	282.25	287.75
3018	297.95	284.45	290.95	282.85	287.75
3019	296.75	283.05	290.25	283.75	287.55
3020	294.95	281.45	288.75	283.55	287.35
3021	294.35	280.55	287.65	284.15	286.95
3022	293.35	280.25	286.85	283.35	286.45
3023	292.45	279.65	286.15	282.95	285.95
3024	291.75	279.15	285.95	283.05	285.85
3025	291.05	278.55	285.55	283.15	285.85
3026	290.05	277.55	284.25	283.05	285.85
3027	289.35	276.75	283.45	283.05	285.65
3028	288.75	276.25	282.95	283.35	285.35
3029	288.25	276.05	283.05	283.35	285.25
3030	287.55	276.15	282.85	283.45	285.05
3031	287.95	277.45	283.85	282.45	285.15
3032	289.15	279.35	284.85	282.35	285.95
3033	289.75	279.85	285.65	282.65	287.15
3034	290.35	280.55	286.25	282.85	288.75
3035	291.25	281.35	287.05	283.15	290.15
3036	292.45	282.15	287.65	283.95	290.75
3037	293.65	283.65	288.75	283.25	290.45
3038	294.35	284.85	290.05	284.25	291.15
3039	296.05	285.35	290.95	285.25	290.65
3040	296.75	286.75	291.85	285.05	290.65
3041	295.55	287.35	293.05	285.45	290.45
3042	295.15	287.35	293.55	285.25	291.35
3043	293.95	287.35	293.15	285.05	290.05
3044	293.05	286.45	291.25	284.25	288.35
3045	291.85	285.95	290.05	283.45	287.45
3046	291.05	285.65	289.25	283.05	286.95
3047	291.05	285.95	289.05	281.95	286.45
3048	289.75	286.25	288.55	281.35	286.25
3049	288.15	285.25	288.25	280.55	286.25
3050	288.25	285.45	287.85	280.25	285.55
3051	287.95	285.45	286.85	279.65	285.35
3052	287.25	284.45	286.65	279.65	285.35
3053	287.15	283.05	286.35	279.45	284.75
3054	286.15	283.05	286.45	279.15	284.55
3055	287.45	283.75	287.55	280.45	284.95
3056	288.65	283.45	288.45	282.15	286.05
3057	288.85	283.45	289.25	282.75	287.45
3058	289.45	283.25	290.05	283.25	288.65
3059	290.55	283.25	291.35	284.05	290.05
3060	291.55	283.65	292.05	286.25	290.85
3061	293.05	283.45	293.75	287.05	291.55
3062	294.75	283.55	294.95	288.85	291.95
3063	294.85	283.55	295.85	290.15	292.15
3064	293.95	283.85	296.25	290.25	292.45
3065	294.35	283.85	296.35	291.55	291.85
3066	293.95	282.65	296.45	292.45	290.95
3067	292.85	281.95	295.75	292.65	290.35
