Mois	min	max	mean	2014
1	270.75	282.05	276.25	282.05
1	271.25	282.25	276.2625	282.25
1	271.35	282.35	276.175	282.35
1	271.45	282.55	276.3875	282.55
1	271.65	283.05	276.4625	283.05
1	271.65	282.35	276.3	282.35
1	271.75	281.45	276.3	281.45
1	271.75	282.25	276.8	282.25
1	272.55	283.15	277.3875	283.15
1	273.45	284.45	278.0375	284.45
1	274.75	285.25	278.775	285.25
1	275.05	285.75	278.9625	285.75
1	275.15	285.45	278.85	285.45
1	275.15	283.55	278.4125	283.55
1	274.95	282.35	277.9	282.35
1	274.35	282.15	277.5	280.95
1	273.65	281.75	277.0875	280.45
1	272.55	281.45	276.575	279.45
1	272.05	281.05	276.3625	278.85
1	271.45	280.05	276.0125	278.05
1	270.45	279.85	275.875	277.85
1	269.25	280.05	275.675	277.15
1	270.05	280.15	275.7125	277.05
1	269.45	279.95	275.4375	276.15
1	269.15	279.25	275.325	275.85
1	268.95	279.75	275.2625	276.05
1	268.65	279.35	274.95	275.65
1	268.35	279.15	274.5875	275.65
1	268.15	280.05	274.525	275.35
1	268.45	280.75	274.5375	275.85
1	268.85	281.65	275.0875	277.95
1	269.55	282.15	275.9125	280.75
1	270.15	283.65	276.7875	283.65
1	271.45	284.95	277.8375	284.95
1	271.95	286.45	278.6	286.45
1	272.05	286.45	279.025	286.45
1	272.25	285.75	278.925	285.75
1	272.15	285.05	278.475	285.05
1	272.15	285.45	278.0875	285.45
1	271.95	284.95	277.6	284.95
1	272.05	285.25	277.6625	285.25
1	271.95	285.95	277.7	285.95
1	271.65	285.25	277.225	285.25
1	271.85	284.85	277	284.85
1	271.65	284.65	276.825	283.95
1	270.85	285.35	276.5125	283.55
1	271.05	285.55	276.425	283.25
1	270.95	286.15	276.4875	283.15
1	270.95	286.75	276.6375	282.95
1	270.65	286.95	276.55	282.05
1	270.65	286.65	276.4875	280.85
1	270.75	286.05	276.325	280.15
1	270.65	285.15	276.15	279.65
1	270.65	285.45	276.15	279.65
1	271.15	286.15	276.15	279.55
1	271.45	286.95	276.6	279.75
1	272.15	287.85	277.425	281.05
1	272.65	288.95	278.325	281.65
1	272.95	288.85	278.825	282.05
1	273.35	289.35	279.2875	282.25
1	273.25	289.15	279.425	282.45
1	273.05	287.65	279.1875	281.55
1	272.55	286.75	278.8125	280.25
1	272.55	286.55	278.375	278.75
1	272.55	286.15	278.0125	278.05
1	272.55	285.05	277.25	276.85
1	272.35	284.55	276.825	276.05
1	272.35	284.35	276.5125	275.35
1	272.35	283.85	276.375	274.95
1	272.05	283.85	276.1875	274.75
1	271.95	283.85	276.05	274.15
1	271.85	283.85	275.975	274.25
1	271.75	283.95	275.725	273.75
1	271.55	283.85	275.5875	273.85
1	271.45	283.15	275.325	274.05
1	271.15	282.35	275.2	274.05
1	271.05	279.05	275.05	274.25
1	270.95	280.15	275.2	274.35
1	270.65	281.95	275.3125	274.75
1	270.65	282.65	275.8125	276.05
1	271.55	283.25	276.6375	278.65
1	272.55	283.55	277.3875	281.25
1	273.25	283.45	277.95	283.45
1	273.35	283.65	278.2	283.65
1	273.25	283.05	277.975	283.05
1	273.25	282.45	277.6	282.45
1	273.25	282.35	277.3625	282.35
1	273.15	281.25	277	281.25
1	272.95	280.55	276.975	280.55
1	272.35	279.85	276.4125	279.85
1	272.05	278.95	276.2625	278.95
1	271.95	278.35	276.1375	277.65
1	272.35	277.95	275.975	276.95
1	272.45	278.55	275.8625	276.75
1	272.25	278.75	275.625	276.35
1	272.55	278.65	275.45	275.95
1	272.55	278.95	275.175	275.05
