Symbole	vc	Pc	Tc	Tbp	Mol. weight	WP	DipM	alpha	beta 	gamma	delta	RoL	TL	Roc	Tfp
-	[m3/kg]	[Pa]	[K]	[K]	[g/mol]	[-]	[debye]	[J/(kg K)]	[J/(kg K)]	[J/(kg K)]	[J/(kg K)]	[kg/m3]	[K]	[kg/m3]	[K]
R123	0.001818182	3676000	456.94	301.02	152.93	0	-1	192	1.98	-0.00124	-0.000000014	1593	243.15	550	166
R245ca	0.001890359	3860000	451.55	298.15	134.1	0	-1	37	3.39	-0.00205	0.000000000	1388	278.11	529	199.75
R500	0.002016007	4423000	378.65	239.65	99.31	0	-1	876	-2.72	0.0104	-0.000009810	0	0	496.03	114.15
R365mfc	0.002087683	3814000	474.89	313.35	148	0.199	3.9	163	5.7	-0.00191	-0.000000049	1263	293.15	479	238.15
R245fa	0.001941748	3640000	427.2	288.05	134.05	0.3724	1.549	37	3.39	-0.00205	0.000000000	1388	278.11	515	199.75
R227ea	0.001712329	2929000	374.885	257.54	170.03	0.3632	1.456	217	4.79	-0.00315	0.000000000	1388	298	584	142.15
//H2O	0.0032	22089000	647.286	373.15	18.016	0	0	2500000	-2520	4.04	-0.002160000	1000	273.15	312.5	273.15
C3H6	0.00430126	4600000	364.9	225.5	42.081	0.114	0.4	88.1633	5.57259	-0.00276	0.000000524	612	223	232.49	87.9
Ar	0.001874941	4870000	150.8	87.3	39.948	0.001	0	521	0	0	0.000000000	1373	90	533.35	83.8
Kr	0.001088305	5500000	209.4	119.9	83.8	0.005	0	248	0	0	0.000000000	2420	120	918.86	115.8
NO	0.001922966	6480000	180	121.4	30.006	0.588	0.2	978	-0.0313	0.0325	-0.000140000	1280	121	520.03	109.5
NO2	0.003647372	10100000	431	294.3	46.006	0.834	0.4	527	1.05	-0.000452	0.000000006	1226	184	274.17	261.9
O2	0.002293841	5040000	154.6	90.2	31.999	0.025	0	878	-0.000115	0.000546	-0.000333000	1149	90	435.95	54.4
SO2	0.001907487	7880000	430.8	263.2	64.063	0.256	1.6	372	1.05	-0.000774	0.000000207	1455	263	524.25	197.7
