2012	2013	2014	2015	2016	2017	2018	2019	2020	mean	max	min
2	2	1	1	1	1	1	1	1	1.222222222	2	1
2	2	1	1	1	1	1	1	1	1.222222222	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	3	2	3	2	3	1	1	1	2.111111111	3	1
12	23	22	42	33	13	12	3	13	19.22222222	42	3
39	75	180	158	61	99	77	43	108	93.33333333	180	39
32	164	307	304	151	170	179	70	228	178.3333333	307	32
63	199	372	374	241	140	303	113	317	235.7777778	374	63
67	180	275	359	263	83	281	78	357	215.8888889	359	67
51	252	279	299	306	100	187	53	337	207.1111111	337	51
55	189	192	187	183	60	105	73	265	145.4444444	265	55
15	59	69	68	55	18	65	44	127	57.77777778	127	15
2	3	6	5	4	3	21	11	34	9.888888889	34	2
3	2	1	1	1	1	2	1	2	1.555555556	3	1
2	2	1	1	1	1	1	1	1	1.222222222	2	1
3	2	1	1	2	1	1	1	1	1.444444444	3	1
2	2	1	1	1	1	1	1	1	1.222222222	2	1
3	2	1	1	2	1	1	1	1	1.444444444	3	1
2	1	1	1	2	1	1	1	1	1.222222222	2	1
4	2	1	1	2	1	1	1	1	1.555555556	4	1
1	1	1	1	1	1	1	1	1	1	1	1
2	1	1	1	1	2	1	1	1	1.222222222	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	1	1	1	1	2	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	2	1	1	1	1	1	1	1	1.333333333	3	1
4	2	7	3	9	3	1	1	1	3.444444444	9	1
19	25	54	77	48	78	12	6	14	37	78	6
58	87	112	211	182	203	90	55	112	123.3333333	211	55
84	129	209	325	219	311	148	124	236	198.3333333	325	84
40	258	295	377	218	369	148	231	325	251.2222222	377	40
26	260	257	380	170	379	123	156	366	235.2222222	380	26
36	187	152	301	78	296	90	163	352	183.8888889	352	36
40	192	51	196	47	184	63	140	271	131.5555556	271	40
29	71	42	90	22	65	34	48	134	59.44444444	134	22
6	6	6	9	3	4	6	9	35	9.333333333	35	3
2	1	2	1	1	1	1	1	2	1.333333333	2	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	1	1	1	2	2	1	1	1	1.444444444	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	2	2	1	2	1	1	1	1	1.444444444	2	1
3	1	1	1	2	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
5	2	5	5	2	4	1	1	1	2.888888889	5	1
21	12	76	71	16	69	4	6	27	33.55555556	76	4
36	27	138	249	29	194	18	26	61	86.44444444	249	18
63	40	315	308	18	302	30	45	106	136.3333333	315	18
155	72	379	337	18	349	51	57	181	177.6666667	379	18
117	90	328	234	38	250	49	42	320	163.1111111	328	38
71	80	290	309	53	190	66	45	343	160.7777778	343	45
50	36	183	197	61	119	48	43	271	112	271	36
12	16	66	73	19	29	28	29	113	42.77777778	113	12
4	2	4	6	2	2	10	8	29	7.444444444	29	2
2	1	2	1	1	1	1	1	2	1.333333333	2	1
2	1	2	1	2	1	1	1	2	1.444444444	2	1
2	1	2	1	2	1	1	1	1	1.333333333	2	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
3	1	1	1	2	1	1	1	1	1.333333333	3	1
2	1	2	1	2	1	1	1	1	1.333333333	2	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	2	1	2	1	1	1	1	1.333333333	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	2	1	2	1	1	1	1	1.333333333	2	1
3	3	5	8	3	2	1	1	1	3	8	1
9	31	73	78	20	29	11	4	16	30.11111111	78	4
31	93	168	209	64	97	37	32	138	96.55555556	209	31
40	233	253	315	74	123	47	87	238	156.6666667	315	40
58	284	263	373	94	184	100	95	276	191.8888889	373	58
78	366	293	346	64	183	65	83	352	203.3333333	366	64
