2012	2013	2014	2015	2016	2017	2018	2019	2020	mean	max	min
622	602	638	499	115	192	546	542	595	483.4444444	638	115
554	604	338	276	186	114	561	595	634	429.1111111	634	114
528	554	183	305	219	216	357	609	639	401.1111111	639	183
405	434	134	256	199	17	284	531	493	305.8888889	531	17
200	291	88	175	114	20	198	410	411	211.8888889	411	20
81	123	46	117	40	25	74	243	199	105.3333333	243	25
14	15	3	22	8	4	22	77	59	24.88888889	77	3
3	1	1	1	2	1	2	6	3	2.222222222	6	1
3	1	1	1	1	1	1	2	1	1.333333333	3	1
3	1	1	1	1	1	1	2	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	1	1	1	1	1	1	1	2	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	0	1.111111111	3	0
3	1	1	1	1	1	1	2	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
10	5	4	2	4	3	1	1	1	3.444444444	10	1
119	40	39	25	36	52	8	7	26	39.11111111	119	7
293	95	133	171	132	91	44	49	146	128.2222222	293	44
313	133	158	174	249	164	86	122	345	193.7777778	345	86
544	159	208	183	262	286	149	159	488	270.8888889	544	149
631	239	360	164	396	341	227	106	599	340.3333333	631	106
607	267	496	272	607	325	198	123	636	392.3333333	636	123
557	403	141	261	537	293	158	105	636	343.4444444	636	105
440	425	112	227	442	292	173	80	561	305.7777778	561	80
299	202	41	133	175	157	111	51	403	174.6666667	403	41
132	114	21	60	45	39	77	26	119	70.33333333	132	21
18	14	6	5	7	5	30	18	39	15.77777778	39	5
3	1	1	1	1	1	2	1	4	1.666666667	4	1
3	1	2	1	2	1	1	1	2	1.555555556	3	1
3	1	2	1	2	1	1	1	1	1.444444444	3	1
3	1	2	1	2	1	1	1	2	1.555555556	3	1
3	1	1	2	1	1	1	1	0	1.222222222	3	0
2	1	1	3	1	1	1	1	1	1.333333333	3	1
3	1	1	1	2	1	1	1	1	1.333333333	3	1
3	1	1	1	2	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
11	2	3	3	8	3	1	1	1	3.666666667	11	1
124	15	16	22	77	26	11	39	15	38.33333333	124	11
304	40	62	117	127	50	75	136	48	106.5555556	304	40
459	69	188	188	192	67	153	225	77	179.7777778	459	67
574	108	597	164	323	150	149	315	172	283.5555556	597	108
636	141	581	182	275	182	142	265	159	284.7777778	636	141
610	151	678	210	257	234	137	286	74	293	678	74
561	178	571	497	244	476	172	290	57	338.4444444	571	57
439	118	317	314	20	336	190	283	60	230.7777778	439	20
301	72	267	293	13	186	127	176	77	168	301	13
136	30	95	117	8	128	70	82	51	79.66666667	136	8
20	5	6	6	4	20	50	70	15	21.77777778	70	4
3	1	2	2	1	2	7	6	2	2.888888889	7	1
3	1	2	2	1	2	1	1	1	1.555555556	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	2	1	1.333333333	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
13	3	3	11	6	11	1	1	1	5.555555556	13	1
114	23	26	117	59	127	15	35	18	59.33333333	127	15
312	64	75	276	156	285	77	167	84	166.2222222	312	64
485	126	141	440	179	455	165	346	327	296	485	126
609	186	209	408	184	560	222	484	393	361.6666667	609	184
630	245	145	431	192	533	179	595	645	399.4444444	645	145
571	340	188	728	180	382	222	660	720	443.4444444	728	180
583	537	200	589	336	322	181	505	644	433	644	181
456	441	144	454	189	218	142	328	388	306.6666667	456	142
182	302	126	320	18	158	106	299	352	207	352	18
159	134	72	132	81	66	62	137	204	116.3333333	204	62
24	18	11	15	2	11	88	78	72	35.44444444	88	2
3	1	2	1	1	2	11	4	7	3.555555556	11	1
3	1	1	2	1	2	1	1	1	1.444444444	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	2	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	2	1	1	1	2	1	1.444444444	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	2	1	1	1	2	1	1.444444444	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
14	11	9	5	13	5	1	0	1	6.555555556	14	0
118	116	56	40	83	59	22	2	23	57.66666667	118	2
279	307	156	89	164	213	107	8	203	169.5555556	307	8
429	474	447	146	304	458	232	22	386	322	474	22
564	584	304	124	277	515	386	18	529	366.7777778	584	18
627	657	268	223	197	676	434	33	565	408.8888889	676	33
607	649	205	222	241	334	637	84	652	403.4444444	652	84
559	591	101	277	93	551	670	222	643	411.8888889	670	93
433	468	89	150	96	191	476	305	488	299.5555556	488	89
243	318	45	121	72	148	294	82	343	185.1111111	343	45
87	146	25	100	26	24	128	191	202	103.2222222	202	24
16	22	8	31	4	2	37	64	64	27.55555556	64	2
3	2	1	1	1	1	3	5	4	2.333333333	5	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	0	1	1	1.111111111	3	0
2	1	1	1	1	1	2	1	1	1.222222222	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	1	1	1	1	1	1	2	1	1.333333333	3	1
2	1	1	1	1	1	1	2	1	1.222222222	2	1
3	1	1	1	1	1	1	2	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	2	1.333333333	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
5	12	4	15	2	7	1	1	1	5.333333333	15	1
23	85	59	54	9	87	19	20	9	40.55555556	87	9
204	145	166	187	41	370	117	192	31	161.4444444	370	31
314	265	451	546	82	428	253	364	63	307.3333333	546	63
324	340	566	566	89	517	320	515	90	369.6666667	566	89
391	436	550	522	206	637	526	620	97	442.7777778	637	97
346	493	476	670	200	373	641	646	115	440	670	115
186	345	255	651	252	181	572	674	126	360.2222222	674	126
287	172	432	502	337	55	489	579	119	330.2222222	579	55
186	122	175	309	340	55	360	458	82	231.8888889	458	55
88	34	73	154	142	59	239	303	37	125.4444444	303	34
15	19	15	23	10	13	166	108	12	42.33333333	166	10
3	2	2	1	2	2	7	9	1	3.222222222	9	1
3	2	2	1	1	1	1	1	1	1.444444444	3	1
3	2	2	1	1	0	1	2	1	1.444444444	3	0
2	2	2	1	1	1	1	2	1	1.444444444	2	1
3	1	1	1	1	1	1	1	2	1.333333333	3	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	2	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
14	9	17	14	23	8	1	1	1	9.777777778	23	1
100	62	139	144	220	54	13	35	29	88.44444444	220	13
244	145	308	340	462	42	49	128	47	196.1111111	462	42
509	201	390	504	421	95	155	231	113	291	509	95
614	163	404	617	344	184	228	397	100	339	617	100
700	159	583	683	180	125	235	529	300	388.2222222	700	125
668	334	682	667	217	318	142	348	284	406.6666667	682	142
548	274	581	615	158	170	100	498	564	389.7777778	615	100
437	114	470	486	269	63	103	285	627	317.1111111	627	63
273	64	240	339	180	32	77	273	425	211.4444444	425	32
173	38	150	161	93	25	51	140	329	128.8888889	329	25
30	9	25	23	8	7	24	58	141	36.11111111	141	7
3	2	2	2	1	1	2	6	10	3.222222222	10	1
3	1	1	2	1	1	1	2	1	1.444444444	3	1
3	2	2	1	1	1	1	2	1	1.555555556	3	1
3	2	1	1	1	1	1	2	1	1.444444444	3	1
3	2	1	1	1	1	1	2	1	1.444444444	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	2	1	1	1	1	1	2	1	1.444444444	3	1
3	2	1	1	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
20	17	16	16	19	4	1	1	1	10.55555556	20	1
154	72	151	153	167	42	31	3	16	87.66666667	167	3
362	184	352	367	298	101	121	32	136	217	367	32
455	172	515	480	522	178	270	105	324	335.6666667	522	105
550	371	625	585	579	281	228	178	485	431.3333333	625	178
556	321	694	655	610	429	273	231	273	449.1111111	694	231
646	320	679	662	718	330	477	463	280	508.3333333	718	280
582	359	626	613	644	260	296	695	281	484	695	260
435	317	494	441	384	329	415	374	315	389.3333333	494	315
261	215	340	264	228	304	300	203	256	263.4444444	340	203
87	129	157	132	66	39	328	264	374	175.1111111	374	39
13	20	25	17	6	8	117	50	92	38.66666667	117	6
3	2	2	2	1	1	9	7	9	4	9	1
2	2	2	2	1	1	2	1	1	1.555555556	2	1
2	2	2	2	1	1	1	1	1	1.444444444	2	1
2	2	2	1	1	1	1	1	1	1.333333333	2	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
3	2	1	1	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	2	1	1.222222222	2	1
7	13	18	19	10	16	1	1	2	9.666666667	19	1
23	49	158	156	69	95	49	11	59	74.33333333	158	11
77	56	360	344	241	270	222	42	186	199.7777778	360	42
158	50	523	509	573	209	384	91	264	306.7777778	573	50
221	79	628	597	246	251	525	113	474	348.2222222	628	79
80	75	689	640	230	291	646	116	642	378.7777778	689	75
241	130	674	604	162	183	693	125	659	385.6666667	693	125
304	175	619	574	246	182	642	305	651	410.8888889	651	175
360	121	498	412	202	151	544	385	570	360.3333333	570	121
243	81	334	276	182	66	500	243	424	261	500	66
182	26	163	139	47	55	250	234	288	153.7777778	288	26
28	6	28	28	11	8	106	72	114	44.55555556	114	6
2	1	2	2	1	1	8	6	11	3.777777778	11	1
3	2	2	2	1	1	2	1	1	1.666666667	3	1
3	1	2	2	1	1	1	1	1	1.444444444	3	1
2	1	2	2	1	1	1	1	1	1.333333333	2	1
3	1	2	2	1	1	1	1	0	1.333333333	3	0
2	1	2	1	1	1	1	1	1	1.222222222	2	1
2	1	1	1	1	1	2	1	1	1.222222222	2	1
3	2	1	1	1	1	1	1	2	1.444444444	3	1
3	2	1	1	1	1	1	1	1	1.333333333	3	1
3	2	1	1	1	1	1	1	2	1.444444444	3	1
3	2	1	1	1	1	1	1	1	1.333333333	3	1
3	2	1	1	1	1	1	1	1	1.333333333	3	1
23	18	21	23	24	4	1	1	1	12.88888889	24	1
164	132	157	173	179	54	39	17	26	104.5555556	179	17
366	166	355	316	380	108	144	80	137	228	380	80
523	275	515	514	551	75	224	146	221	338.2222222	551	75
600	491	623	630	671	102	395	109	203	424.8888889	671	102
710	470	694	700	717	126	248	139	657	495.6666667	717	126
719	503	679	687	708	162	227	164	292	460.1111111	719	162
641	503	615	577	657	53	317	182	487	448	657	53
506	365	493	436	512	46	300	326	421	378.3333333	512	46
350	277	349	276	335	64	209	226	478	284.8888889	478	64
173	88	169	147	116	28	176	79	360	148.4444444	360	28
34	20	30	24	21	6	81	56	126	44.22222222	126	6
3	2	2	2	1	1	7	5	9	3.555555556	9	1
3	2	2	2	1	1	1	1	1	1.555555556	3	1
3	1	2	2	1	1	1	1	1	1.444444444	3	1
3	2	2	2	1	1	1	1	1	1.555555556	3	1
3	2	2	2	1	1	2	1	1	1.666666667	3	1
3	2	2	1	1	1	1	1	1	1.444444444	3	1
3	1	1	1	1	1	1	2	1	1.333333333	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	2	1	1	1	1	1	1	1	1.333333333	3	1
3	2	1	1	1	1	1	0	3	1.444444444	3	0
3	1	1	1	1	1	1	1	2	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
29	14	21	26	22	14	2	1	1	14.44444444	29	1
161	84	176	159	175	146	18	15	16	105.5555556	176	15
365	214	356	352	379	350	54	40	102	245.7777778	379	40
532	355	513	534	545	494	115	82	84	361.5555556	545	82
640	488	617	529	659	638	122	95	113	433.4444444	659	95
699	426	682	614	720	696	166	175	131	478.7777778	720	131
691	326	673	365	652	687	127	99	197	424.1111111	691	99
571	484	620	303	632	641	226	274	132	431.4444444	641	132
486	419	490	240	569	514	246	363	113	382.2222222	569	113
351	246	348	201	295	360	227	228	46	255.7777778	360	46
174	97	170	122	114	164	210	171	40	140.2222222	210	40
34	14	30	26	31	39	69	117	19	42.11111111	117	14
3	1	2	2	2	2	7	9	2	3.333333333	9	1
2	2	2	2	2	1	1	2	2	1.777777778	2	1
3	1	2	2	1	1	1	1	1	1.444444444	3	1
3	2	2	2	1	2	2	2	1	1.888888889	3	1
3	1	2	2	1	2	2	2	1	1.777777778	3	1
3	2	2	2	1	1	2	1	1	1.666666667	3	1
2	1	1	2	1	1	1	1	1	1.222222222	2	1
2	1	1	2	1	1	1	1	1	1.222222222	2	1
2	1	1	2	1	1	1	2	1	1.333333333	2	1
2	1	1	2	1	1	1	1	1	1.222222222	2	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	2	1	2	1	1	1	1	1	1.444444444	3	1
28	6	19	35	21	26	1	1	1	15.33333333	35	1
167	33	157	143	152	169	14	29	32	99.55555556	169	14
364	72	359	321	345	346	62	38	92	222.1111111	364	38
493	221	494	500	520	500	112	20	119	331	520	20
597	439	586	600	650	615	80	189	160	435.1111111	650	80
680	433	594	615	524	653	69	84	363	446.1111111	680	69
629	207	540	640	791	660	80	294	348	465.4444444	791	80
502	477	602	601	352	648	52	508	326	452	648	52
503	361	427	529	438	516	45	310	366	388.3333333	529	45
324	281	266	343	214	364	43	314	288	270.7777778	364	43
114	174	107	156	92	154	80	278	192	149.6666667	278	80
45	34	18	33	19	18	33	44	71	35	71	18
3	2	2	2	2	2	5	9	13	4.444444444	13	2
3	2	2	2	2	2	1	1	1	1.777777778	3	1
2	2	2	2	2	2	2	1	2	1.888888889	2	1
2	1	2	2	2	1	1	1	1	1.444444444	2	1
3	2	2	1	2	2	1	1	1	1.666666667	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
2	1	1	1	1	2	1	1	1	1.222222222	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
25	12	26	28	23	18	1	2	4	15.44444444	28	1
139	60	167	175	146	101	23	65	57	103.6666667	175	23
314	135	369	379	357	237	76	247	218	259.1111111	379	76
512	253	532	550	299	411	177	408	190	370.2222222	550	177
599	204	643	659	180	599	278	549	159	430	659	159
677	350	710	736	260	635	395	487	190	493.3333333	736	190
640	427	700	725	246	552	288	444	238	473.3333333	725	238
595	477	639	669	304	505	426	654	329	510.8888889	669	304
471	311	503	532	206	434	267	469	299	388	532	206
262	319	362	383	104	293	45	315	166	249.8888889	383	45
115	170	179	196	44	142	62	183	104	132.7777778	196	44
20	31	35	39	10	31	47	73	17	33.66666667	73	10
3	2	2	2	2	2	4	9	4	3.333333333	9	2
2	2	2	2	1	2	2	1	1	1.666666667	2	1
3	1	2	2	1	2	1	1	2	1.666666667	3	1
2	2	2	1	1	2	2	1	1	1.555555556	2	1
3	2	2	1	2	1	1	1	1	1.555555556	3	1
2	1	2	1	2	2	1	1	1	1.444444444	2	1
3	1	1	1	1	1	1	2	1	1.333333333	3	1
3	1	1	1	1	1	1	4	1	1.555555556	4	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	2	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	2	1	1	1	1	1.333333333	3	1
35	7	29	29	7	31	2	2	2	16	35	2
190	11	171	183	42	166	16	39	10	92	190	10
389	22	363	382	171	340	80	69	48	207.1111111	389	22
547	37	521	542	261	500	153	377	84	335.7777778	547	37
657	54	625	658	427	611	129	397	183	415.6666667	658	54
716	76	695	729	305	693	191	470	182	450.7777778	729	76
705	94	686	690	155	694	239	606	258	458.5555556	705	94
648	87	627	578	133	646	194	379	372	407.1111111	648	87
517	65	502	472	96	499	180	504	409	360.4444444	517	65
376	47	368	366	66	338	129	168	316	241.5555556	376	47
196	30	183	143	35	181	100	100	357	147.2222222	357	30
42	4	36	26	11	37	63	100	178	55.22222222	178	4
3	1	2	2	2	2	16	12	18	6.444444444	18	1
3	1	2	2	2	2	1	2	2	1.888888889	3	1
3	1	2	2	2	1	1	1	2	1.666666667	3	1
3	1	2	1	1	3	1	2	1	1.666666667	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	2	1	1	2	1	1	1	1.444444444	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
38	17	29	30	18	37	2	3	2	19.55555556	38	2
197	93	171	115	88	184	69	29	42	109.7777778	197	29
400	180	364	248	175	366	254	72	141	244.4444444	400	72
559	585	521	501	199	523	423	134	220	407.2222222	585	134
670	687	623	614	303	634	566	145	462	522.6666667	687	145
725	774	687	577	556	633	444	179	474	561	774	179
723	554	683	522	566	684	533	158	637	562.2222222	723	158
658	382	620	623	362	654	673	140	540	516.8888889	673	140
521	223	492	521	299	531	641	73	587	432	641	73
380	304	365	349	180	371	481	43	534	334.1111111	534	43
196	200	178	204	71	203	355	55	160	180.2222222	355	55
45	18	34	47	20	42	131	21	78	48.44444444	131	18
3	1	2	2	2	2	13	4	11	4.444444444	13	1
3	1	2	2	2	2	2	1	2	1.888888889	3	1
3	1	2	2	2	2	2	1	1	1.777777778	3	1
3	1	2	2	1	1	2	1	2	1.666666667	3	1
3	1	2	1	1	2	1	1	1	1.444444444	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
42	38	26	33	26	55	2	1	3	25.11111111	55	1
205	102	120	131	183	195	14	9	80	115.4444444	205	9
408	256	163	149	352	356	26	23	264	221.8888889	408	23
570	570	271	110	451	493	61	30	432	332	570	30
680	714	392	318	589	635	108	78	577	454.5555556	714	78
744	896	366	562	667	710	277	94	680	555.1111111	896	94
706	811	198	611	676	700	401	118	727	549.7777778	811	118
655	714	403	404	512	623	393	106	730	504.4444444	730	106
528	551	169	245	188	518	267	124	640	358.8888889	640	124
386	397	57	152	99	367	122	117	502	244.3333333	502	57
201	205	34	84	28	201	67	208	299	147.4444444	299	28
46	45	17	25	6	42	43	102	138	51.55555556	138	6
4	1	2	2	1	2	4	14	14	4.888888889	14	1
3	1	2	2	1	2	2	1	2	1.777777778	3	1
3	1	1	2	1	2	1	1	1	1.444444444	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
2	1	2	1	1	2	1	1	1	1.333333333	2	1
3	1	2	1	1	2	1	1	2	1.555555556	3	1
3	1	1	1	1	1	1	1	2	1.333333333	3	1
2	1	1	1	1	1	1	1	2	1.222222222	2	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	0	1	1	1	1	1	1	1	1.111111111	3	0
3	1	1	1	1	1	1	1	1	1.222222222	3	1
45	43	17	10	5	39	2	5	4	18.88888889	45	2
214	223	56	46	36	190	32	87	83	107.4444444	223	32
416	431	103	139	135	368	76	270	267	245	431	76
578	589	302	476	130	522	214	444	439	410.4444444	589	130
686	693	609	578	134	636	476	588	581	553.4444444	693	134
738	677	714	574	240	702	466	699	690	611.1111111	738	240
723	588	657	443	215	711	460	748	727	585.7777778	748	215
662	463	634	308	285	656	620	748	730	567.3333333	748	285
532	373	528	285	221	536	574	661	608	479.7777778	661	221
394	262	377	273	113	388	407	523	513	361.1111111	523	113
206	159	196	159	100	204	304	357	320	222.7777778	357	100
47	24	44	47	40	39	182	154	72	72.11111111	182	24
3	1	3	2	2	2	10	18	19	6.666666667	19	1
3	1	2	2	1	2	2	1	2	1.777777778	3	1
2	1	2	2	1	2	1	2	2	1.666666667	2	1
2	1	2	2	1	1	2	1	2	1.555555556	2	1
2	1	1	2	1	1	1	1	1	1.222222222	2	1
3	1	2	2	1	1	2	1	2	1.666666667	3	1
2	1	2	2	1	1	1	1	1	1.333333333	2	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
2	1	2	2	1	2	1	1	2	1.555555556	2	1
3	1	2	1	1	2	1	1	2	1.555555556	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
4	1	2	1	1	2	1	1	2	1.666666667	4	1
54	16	46	23	44	43	2	3	5	26.22222222	54	2
194	53	221	80	213	198	20	104	64	127.4444444	221	20
355	159	427	239	416	377	38	302	175	276.4444444	427	38
419	239	584	370	575	530	73	293	378	384.5555556	584	73
318	291	693	446	691	644	122	273	560	448.6666667	693	122
519	125	756	726	753	707	169	713	673	571.2222222	756	125
379	85	745	717	745	714	130	634	732	542.3333333	745	85
479	127	684	641	681	665	114	641	585	513	684	114
465	152	549	575	552	544	86	330	699	439.1111111	699	86
347	87	387	486	406	364	45	84	505	301.2222222	505	45
89	55	227	217	214	189	26	10	359	154	359	10
34	16	52	68	48	50	19	8	149	49.33333333	149	8
3	1	4	3	3	2	3	3	19	4.555555556	19	1
3	1	2	2	2	2	1	1	2	1.777777778	3	1
3	1	2	2	2	0	1	1	2	1.555555556	3	0
2	1	2	2	2	1	1	1	1	1.444444444	2	1
2	1	2	2	1	1	1	1	1	1.333333333	2	1
3	1	2	2	1	1	1	1	1	1.444444444	3	1
2	1	1	2	1	1	1	1	2	1.333333333	2	1
2	1	2	2	1	1	1	1	1	1.333333333	2	1
3	1	2	2	1	1	1	1	2	1.555555556	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
2	1	2	2	1	1	1	1	2	1.444444444	2	1
43	10	50	22	50	12	2	3	6	22	50	2
97	39	212	167	221	48	32	41	88	105	221	32
156	88	415	394	426	91	90	87	266	223.6666667	426	87
206	196	564	546	582	91	106	375	434	344.4444444	582	91
75	224	642	651	698	57	119	278	576	368.8888889	698	57
41	201	633	715	757	80	128	463	683	411.2222222	757	41
73	134	651	700	749	80	153	356	724	402.2222222	749	73
45	189	658	636	687	72	170	193	718	374.2222222	718	45
44	269	521	520	552	107	155	325	629	346.8888889	629	44
36	187	374	380	412	64	134	243	499	258.7777778	499	36
11	51	177	197	224	39	85	152	342	142	342	11
8	29	48	46	55	13	36	66	151	50.22222222	151	8
3	1	3	2	3	1	5	7	19	4.888888889	19	1
2	1	2	2	2	1	1	1	2	1.555555556	2	1
2	2	2	2	2	1	1	1	2	1.666666667	2	1
2	1	1	2	2	1	1	1	2	1.444444444	2	1
2	1	2	2	2	1	1	1	1	1.444444444	2	1
2	1	2	2	1	1	1	1	1	1.333333333	2	1
2	1	2	2	1	1	1	1	1	1.333333333	2	1
2	1	1	1	1	1	1	1	2	1.222222222	2	1
3	1	2	2	1	1	1	1	1	1.444444444	3	1
2	1	1	2	1	1	1	1	1	1.222222222	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	1	2	2	1	1	1	1	1	1.333333333	2	1
14	20	41	37	54	15	2	5	8	21.77777778	54	2
73	62	217	118	229	60	52	102	91	111.5555556	229	52
140	211	421	365	434	231	83	291	265	271.2222222	434	83
162	461	574	523	593	394	167	459	435	418.6666667	593	162
154	508	685	634	714	422	183	549	575	491.5555556	714	154
247	777	742	693	768	387	158	346	685	533.6666667	777	158
184	755	729	697	752	212	254	623	732	548.6666667	755	184
129	692	665	635	682	240	195	766	725	525.4444444	766	129
103	554	538	501	549	370	138	450	640	427	640	103
47	395	401	354	406	163	127	341	499	303.6666667	499	47
23	161	189	153	220	220	98	287	339	187.7777778	339	23
8	40	40	63	55	50	111	147	150	73.77777778	150	8
2	2	3	3	3	2	19	22	22	8.666666667	22	2
2	2	2	2	2	2	1	2	2	1.888888889	2	1
2	1	2	2	2	1	1	1	2	1.555555556	2	1
2	1	2	2	2	1	1	1	1	1.444444444	2	1
2	1	2	2	2	1	1	1	1	1.444444444	2	1
3	1	2	2	1	2	1	1	2	1.666666667	3	1
2	1	2	2	1	2	1	1	1	1.444444444	2	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
2	1	1	1	1	1	1	1	2	1.222222222	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
4	1	2	2	2	1	1	1	1	1.666666667	4	1
41	33	56	65	55	16	3	6	7	31.33333333	65	3
139	124	226	185	228	65	41	108	78	132.6666667	228	41
334	191	424	372	426	89	97	305	236	274.8888889	426	89
577	101	573	241	584	277	150	475	248	358.4444444	584	101
789	208	686	393	699	519	149	622	594	517.6666667	789	149
624	237	743	662	765	556	193	727	686	577	765	193
703	372	738	705	729	578	301	771	642	615.4444444	771	301
596	475	655	567	643	485	181	768	337	523	768	181
576	542	363	362	364	587	237	672	393	455.1111111	672	237
391	294	387	188	291	392	301	525	171	326.6666667	525	171
217	146	172	104	139	221	245	365	68	186.3333333	365	68
60	24	61	34	32	50	144	168	32	67.22222222	168	24
5	1	3	3	3	2	9	23	5	6	23	1
3	1	2	1	2	2	1	1	1	1.555555556	3	1
3	1	2	2	2	2	1	1	1	1.666666667	3	1
2	1	2	2	2	2	1	2	1	1.666666667	2	1
3	1	2	2	2	2	1	1	2	1.777777778	3	1
3	1	2	2	1	1	1	1	1	1.444444444	3	1
3	1	2	2	1	1	1	1	1	1.444444444	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	2	2	2	1	1	1	1	1.555555556	3	1
38	16	43	12	49	15	3	7	9	21.33333333	49	3
234	147	222	34	186	64	44	111	102	127.1111111	234	34
432	383	430	70	299	131	156	305	277	275.8888889	432	70
586	541	575	103	563	280	177	473	447	416.1111111	586	103
