Timestep	2021air	2021sol
306	2.7	1.9
307	2.1	2
308	2.7	2
309	3.6	2
310	3.9	2
311	4.2	2.1
312	4.7	2.1
313	4.7	2.2
314	4.9	2.2
315	4.9	2.3
316	4.8	2.3
317	4.7	2.4
318	4.8	2.5
319	4.8	2.5
320	4.8	2.6
321	4.7	2.6
322	4.7	2.7
323	4.7	2.7
324	4.8	2.8
325	4.4	2.8
326	4.1	2.8
327	4	2.9
328	3.9	2.9
329	3.7	2.9
330	4.1	3
331	4.4	3
332	4.5	3
333	4.6	3.1
334	4.4	3.1
335	4.4	3.1
336	4.4	3.1
337	4.4	3.2
338	4.1	3.2
339	4.1	3.2
340	3.9	3.2
341	4	3.2
342	3.8	3.3
343	4.1	3.3
344	3.9	3.3
345	3.6	3.3
346	3.1	3.3
347	2.5	3.3
348	1.4	3.3
349	0.7	3.3
350	0.2	3.3
351	-0.8	3.3
352	-0.9	3.3
353	-1.3	3.3
354	-1.7	3.3
355	-1.8	3.3
356	-1.9	3.3
357	-2.2	3.3
358	-2.7	3.3
359	-3.3	3.2
360	-4.3	3.2
361	-4.6	3.2
362	-4.9	3.1
363	-5.4	3.1
364	-5.6	3.1
365	-5.4	3
366	-5.2	3
367	-5.2	3
368	-5	2.9
369	-5	2.9
370	-4.9	2.9
371	-4.6	2.8
372	-4.4	2.8
373	-4.1	2.8
374	-3.5	2.7
375	-3.1	2.7
376	-2.5	2.7
377	-2.1	2.7
378	-2.3	2.7
379	-2.3	2.6
380	-2.3	2.6
381	-2.1	2.6
382	-1.6	2.6
383	-1.3	2.6
384	-1.4	2.6
385	-1.2	2.5
386	-0.7	2.5
387	-0.2	2.5
388	0.3	2.5
389	1.7	2.5
390	2.2	2.5
391	2.1	2.5
392	1.7	2.5
393	1.3	2.5
394	1.6	2.5
395	1.9	2.5
396	1.9	2.5
397	1.7	2.5
398	1.5	2.5
399	1.1	2.5
400	1	2.5
401	1.4	2.5
402	1.3	2.5
403	1	2.5
404	0.8	2.5
405	0.9	2.5
406	0.8	2.5
407	0.7	2.5
408	0.7	2.6
409	0.6	2.6
410	0.4	2.6
411	0.3	2.6
412	0.1	2.6
413	-0.1	2.6
414	-0.1	2.6
415	-0.1	2.6
416	-0.1	2.6
417	0.1	2.6
418	0.3	2.6
419	0.9	2.6
420	2.1	2.6
421	2.6	2.6
422	3.3	2.7
423	3.3	2.7
424	2.8	2.8
425	2.2	2.9
426	1	3
427	-0.3	3
428	-0.6	3
429	-1	3
430	-1.3	3
431	-1.6	3
432	-2	3
433	-2.4	3
434	-2.9	2.9
435	-3.2	2.9
436	-3.7	2.9
437	-3.5	2.8
438	-3.7	2.8
439	-3.9	2.7
440	-4.4	2.7
441	-4.6	2.7
442	-3.4	2.6
443	-0.9	2.6
444	0.3	2.5
445	2.2	2.5
446	4.3	2.5
447	5.3	2.5
448	6.1	2.5
449	5.5	2.5
450	4.2	2.5
451	2.7	2.6
452	2.2	2.6
453	1.9	2.6
454	1.5	2.6
455	0.9	2.6
456	0.7	2.6
457	0.6	2.6
458	0.2	2.6
459	-1.1	2.6
460	-0.5	2.5
461	-0.3	2.5
462	-0.5	2.5
463	-1.3	2.5
464	-1.3	2.5
465	-1.2	2.4
466	-0.8	2.4
467	0	2.4
468	1.7	2.4
469	2.9	2.3
470	4.5	2.3
471	5.7	2.4
472	5.6	2.4
473	4.8	2.4
474	3.1	2.5
475	1.8	2.5
476	1.3	2.5
477	1	2.6
478	0.8	2.6
479	0.7	2.6
480	0.7	2.5
481	0.2	2.5
482	0.9	2.5
483	0.9	2.5
484	1	2.5
485	2.4	2.5
486	6.1	2.5
487	6.6	2.5
488	6.7	2.5
489	6.5	2.5
490	6.6	2.5
491	7.8	2.5
492	7.8	2.5
493	9.1	2.6
494	9.4	2.6
495	9.6	2.7
496	9.4	2.8
497	8.5	2.9
498	8.7	3
499	8	3
500	7.3	3.1
501	8	3.1
502	7.9	3.2
503	8.2	3.2
504	6.9	3.2
505	6.3	3.3
506	4.6	3.3
507	5.5	3.3
508	6.7	3.4
509	6.4	3.4
510	5.4	3.4
511	5.2	3.4
512	5.5	3.5
513	4.2	3.5
514	4.2	3.5
515	5.1	3.5
516	6.9	3.5
517	8.2	3.5
518	7.8	3.6
519	7.9	3.7
520	7.5	3.7
521	7.3	3.8
522	6.7	3.9
523	6	3.9
524	5.6	4
525	5.1	4
526	3.8	4
527	1	4
528	0.5	4
529	0.4	4
530	0.5	4
531	0.8	3.9
532	0.9	3.9
533	0.9	3.9
534	0.8	3.8
535	0.7	3.8
536	0	3.8
537	-0.5	3.8
538	-0.5	3.7
539	-0.5	3.7
540	1	3.7
541	1.9	3.7
542	2.1	3.6
543	2.8	3.6
544	2.9	3.6
545	2.4	3.6
546	1.5	3.6
547	0.6	3.6
548	1.5	3.6
549	2.9	3.6
550	2.2	3.6
551	2.4	3.5
552	2.5	3.5
553	1.8	3.5
554	1.9	3.5
555	1.8	3.4
556	1.5	3.4
557	1.1	3.4
558	0.6	3.4
559	-0.5	3.3
560	-1.1	3.3
561	-1.7	3.3
562	-0.9	3.3
563	0.3	3.3
564	1.3	3.2
565	2	3.2
566	2.7	3.2
567	2.9	3.3
568	2.6	3.3
569	1.8	3.3
570	1.1	3.4
571	1.3	3.4
572	1.4	3.4
573	1.5	3.4
574	-0.2	3.4
575	-0.5	3.3
576	-0.8	3.3
577	-0.4	3.3
578	0.2	3.3
579	0.9	3.2
580	0.5	3.2
581	0.5	3.2
582	0.3	3.2
583	0.4	3.1
584	0	3.1
585	-1	3.1
586	-0.7	3
587	-0.1	3
588	0.4	3
589	0	3
590	0.1	3
591	0.6	3
592	0.7	2.9
593	0.2	2.9
594	-1	2.9
595	-1	2.9
596	-1	2.9
597	-0.8	2.9
598	-0.9	2.9
599	-0.9	2.9
600	-1.1	2.9
601	-1.5	2.9
602	-1.5	2.9
603	-1.6	2.9
604	-2.2	2.9
605	-3.1	2.9
606	-2.8	2.9
607	-2.8	2.9
608	-2.7	2.9
609	-2.9	2.9
610	-2.6	2.9
611	-1.1	2.9
612	-0.5	2.9
613	0.3	2.8
614	0.9	2.8
615	1	2.8
616	0.8	2.8
617	0	2.9
618	-0.9	2.9
619	-2	2.9
620	-2.5	2.9
621	-3.2	2.9
622	-3.2	2.9
623	-3.2	2.8
624	-3.3	2.8
625	-3.8	2.8
626	-4.7	2.8
627	-4.8	2.8
628	-4.4	2.8
629	-4.2	2.7
630	-3.7	2.7
631	-3	2.7
632	-3.8	2.7
633	-3.3	2.7
634	-2.9	2.6
635	-2.1	2.6
636	-1.2	2.6
637	-0.2	2.6
638	0.7	2.6
639	1.3	2.6
640	2.7	2.5
641	3	2.5
642	3.3	2.5
643	3.4	2.5
644	3.5	2.5
645	3.6	2.5
646	3.3	2.5
647	3.7	2.6
648	4.4	2.6
649	4.6	2.6
650	4.8	2.6
651	4.9	2.7
652	4.9	2.7
653	4.5	2.7
654	4.4	2.8
655	4.5	2.8
656	4.4	2.8
657	5.9	2.9
658	8.5	2.9
659	8.7	3
660	8.3	3
661	8.6	3.1
662	9	3.3
663	8.6	3.3
664	9.5	3.5
665	10	3.5
666	10.1	3.6
667	10.3	3.7
668	9.9	3.8
669	10	3.9
670	10.1	3.9
671	9.5	4
672	9.8	4.1
673	9.9	4.1
674	9.4	4.2
675	7.9	4.3
676	7.6	4.3
677	8	4.4
678	8.7	4.4
679	8.7	4.4
680	8.3	4.5
681	8.9	4.5
682	8.3	4.6
683	8.3	4.6
684	8.9	4.6
685	7.6	4.7
686	7.8	4.7
687	7.6	4.7
688	7.2	4.7
689	6.7	4.8
690	6.9	4.8
691	6.8	4.8
692	5.4	4.8
693	5.5	4.8
694	5.6	4.8
695	5.5	4.8
696	5.5	4.8
697	5.1	4.8
698	4.8	4.7
699	5.2	4.7
700	5.8	4.7
701	5.6	4.7
702	5.4	4.7
703	4.7	4.7
704	3.7	4.6
705	4.2	4.6
706	5.6	4.6
707	5.5	4.6
708	5.2	4.6
709	5.2	4.6
710	5.1	4.6
711	5.6	4.6
712	6	4.6
713	6.2	4.6
714	5.9	4.6
715	5.4	4.6
716	5.3	4.7
717	5.1	4.7
718	5.1	4.7
719	5.2	4.7
720	5.1	4.7
721	4.6	4.7
722	4.5	4.7
723	4.4	4.7
724	4.1	4.7
725	4.1	4.7
726	4	4.6
727	4	4.6
728	3.8	4.6
729	3.9	4.6
730	4.2	4.6
731	4.9	4.6
732	5.8	4.6
733	6.4	4.6
734	7	4.7
735	7	4.7
736	6.8	4.8
737	6.5	4.8
738	5.9	4.9
739	5	4.9
740	4.8	4.9
741	4.4	4.9
742	4.5	4.9
743	4.1	4.9
744	3.6	4.9
745	3.6	4.9
746	4.2	4.9
747	3.5	4.9
748	3.6	4.8
749	3.6	4.8
750	3.5	4.8
751	4.7	4.8
752	5.3	4.8
753	5.8	4.8
754	6.6	4.8
755	6.5	4.8
756	6.6	4.8
757	6.6	4.8
758	7	4.8
759	6.9	4.8
760	7.1	4.8
761	7.2	4.9
762	7.3	4.9
763	6.8	4.9
764	6.9	4.9
765	7	5
766	6.6	5
767	6.9	5
768	7	5
769	7.2	5
770	7	5.1
771	6.9	5.1
772	6.7	5.1
773	6.4	5.1
774	6.6	5.1
775	6.3	5.1
776	6.7	5.1
777	7	5.1
778	7.4	5.1
779	8.1	5.1
780	9.4	5.1
781	9.2	5.1
782	8.8	5.1
783	8.6	5.2
784	9.5	5.2
785	10.9	5.3
786	9.4	5.4
787	9.3	5.4
788	8.7	5.5
789	9.2	5.5
790	9.5	5.5
791	9.4	5.6
792	9.1	5.6
793	10.6	5.6
794	10.1	5.7
795	9.8	5.7
796	10.1	5.7
797	9.4	5.7
798	9.9	5.8
799	9.5	5.8
800	9.5	5.8
801	8.8	5.8
802	9.4	5.8
803	10.4	5.8
804	10.9	5.8
805	10.3	5.9
806	10.4	5.9
807	11.6	5.9
808	7.6	6
